id,loan_amnt,int_rate,grade,home_ownership,annual_inc,issue_d,loan_status,purpose,fico_range_low,target,season
61544225,20000,16.55,4,1,50000,15-Oct,Charged Off,debt_consolidation,660,0,4
79210714,19200,23.32,3,2,75900,16-Jun,Charged Off,debt_consolidation,700,0,3
59879429,14000,6.24,7,1,55000,15-Sep,Fully Paid,credit_card,710,1,
40481366,12000,6.03,7,1,111000,15-Feb,Fully Paid,debt_consolidation,665,1,1
105253578,12000,18.99,4,2,75000,17-Apr,Charged Off,debt_consolidation,675,0,2
39662118,19225,18.54,3,1,92000,15-Jan,Fully Paid,home_improvement,730,1,1
77061178,26400,11.47,6,1,60000,16-May,Fully Paid,debt_consolidation,660,1,2
60783932,8000,12.29,5,1,40000,15-Oct,Fully Paid,credit_card,665,1,4
61528802,1800,8.18,6,2,30000,15-Oct,Fully Paid,vacation,705,1,4
77209664,12000,19.53,4,1,32000,16-Apr,Charged Off,debt_consolidation,715,0,2
43004197,9000,6.39,7,2,50500,15-Mar,Fully Paid,credit_card,745,1,2
42874297,10100,18.84,3,2,22000,15-Mar,Charged Off,debt_consolidation,715,0,2
75487269,11000,8.39,6,1,65000,16-Mar,Fully Paid,credit_card,680,1,2
111845757,18000,10.91,6,1,130000,17-Jun,Charged Off,debt_consolidation,670,0,3
65772379,13000,8.18,6,1,50000,15-Nov,Fully Paid,debt_consolidation,680,1,4
67745495,28000,15.41,4,2,85000,15-Dec,Fully Paid,debt_consolidation,665,1,1
111051320,18900,7.97,7,1,81500,17-Jun,Fully Paid,credit_card,715,1,3
83588502,22000,13.49,5,3,61400,16-Jun,Fully Paid,debt_consolidation,705,1,3
111734339,4500,11.99,6,2,100000,17-Jun,Fully Paid,credit_card,670,1,3
39622104,12000,11.44,6,1,71300,15-Jan,Fully Paid,credit_card,660,1,1
111246757,7550,23.88,3,2,31460,17-Jun,Fully Paid,house,690,1,3
109646711,18000,7.21,7,1,90000,17-Jun,Fully Paid,debt_consolidation,690,1,3
61422600,5000,17.86,4,1,90000,15-Oct,Charged Off,other,685,0,4
49934703,10000,9.17,6,3,40000,15-Jun,Fully Paid,debt_consolidation,695,1,3
117270561,16800,7.97,7,2,93000,17-Sep,Fully Paid,debt_consolidation,760,1,
40473851,19475,20.99,3,1,39000,15-Feb,Charged Off,debt_consolidation,665,0,1
117270482,17400,12.62,5,2,46500,17-Aug,Fully Paid,credit_card,740,1,3
78669142,14400,26.14,2,1,115000,16-May,Fully Paid,other,680,1,2
130680663,40000,10.41,6,3,80000,18-Mar,Fully Paid,home_improvement,685,1,2
48696365,10000,12.29,5,2,27000,15-May,Fully Paid,debt_consolidation,665,1,2
41760383,3000,10.99,6,1,84000,15-Mar,Fully Paid,other,675,1,2
38465056,2500,18.54,3,1,75000,15-Jan,Fully Paid,other,660,1,1
37207267,35000,14.99,5,3,94650,15-Jan,Fully Paid,credit_card,730,1,1
55927384,2400,14.65,5,1,45000,15-Jul,Fully Paid,small_business,705,1,3
75325051,20700,13.67,5,2,45000,16-Mar,Fully Paid,credit_card,660,1,2
51216712,5000,10.99,6,2,76000,15-Jun,Fully Paid,home_improvement,685,1,3
54057662,10000,10.99,6,2,66000,15-Jul,Fully Paid,debt_consolidation,660,1,3
73419283,22000,11.99,5,2,54000,16-Mar,Charged Off,debt_consolidation,735,0,2
110519308,20000,14.08,5,3,47688,17-Jul,Fully Paid,debt_consolidation,690,1,3
65975965,10000,12.59,5,2,45000,15-Dec,Fully Paid,small_business,685,1,1
75313916,14500,8.39,6,2,65000,16-Mar,Fully Paid,debt_consolidation,665,1,2
79014258,13800,15.31,5,1,75000,16-May,Fully Paid,credit_card,695,1,2
40352297,7500,11.99,6,3,39000,15-Feb,Fully Paid,debt_consolidation,665,1,1
60781496,18000,9.99,6,1,105000,15-Oct,Fully Paid,credit_card,680,1,4
74011846,12000,9.75,6,2,55000,16-Mar,Fully Paid,debt_consolidation,680,1,2
107036904,2000,15.99,5,1,107000,17-May,Fully Paid,major_purchase,680,1,2
63516632,10000,17.86,4,1,53000,15-Oct,Fully Paid,debt_consolidation,685,1,4
77509709,3500,20.75,3,2,22000,16-Apr,Fully Paid,debt_consolidation,670,1,2
63245763,14150,16.99,4,2,40000,15-Oct,Fully Paid,debt_consolidation,670,1,4
38635752,7000,8.19,7,2,75000,15-Jan,Fully Paid,credit_card,670,1,1
59301109,35000,14.65,5,1,175000,15-Sep,Fully Paid,debt_consolidation,745,1,
78859533,10000,6.97,7,2,75000,16-Jun,Fully Paid,credit_card,705,1,3
74965445,12000,18.99,4,2,52000,16-Mar,Charged Off,debt_consolidation,680,0,2
61458281,15500,14.65,5,2,40000,15-Oct,Fully Paid,credit_card,670,1,4
59160574,9600,12.29,5,2,62000,15-Aug,Charged Off,debt_consolidation,675,0,3
48816262,5000,12.69,5,1,180000,15-May,Fully Paid,other,660,1,2
67428038,5000,6.24,7,1,76000,15-Dec,Fully Paid,credit_card,755,1,1
60176025,18000,7.89,7,1,58000,15-Sep,Fully Paid,debt_consolidation,705,1,
61602263,30000,9.99,6,3,100000,15-Oct,Fully Paid,debt_consolidation,710,1,4
58141265,10000,13.99,5,1,50000,15-Aug,Fully Paid,debt_consolidation,665,1,3
60467272,10850,16.55,4,2,54000,15-Sep,Fully Paid,moving,695,1,
60941714,6000,8.18,6,1,29452,15-Sep,Fully Paid,credit_card,770,1,
46694851,15000,12.29,5,2,90906,15-Apr,Fully Paid,debt_consolidation,665,1,2
52838206,11325,9.17,6,2,47000,15-Jun,Fully Paid,credit_card,700,1,3
43975625,8000,11.53,6,3,45000,15-Mar,Fully Paid,debt_consolidation,695,1,2
44815350,6000,7.89,7,1,60000,15-Apr,Fully Paid,debt_consolidation,685,1,2
75092471,21800,12.99,5,1,175000,16-Mar,Fully Paid,debt_consolidation,680,1,2
60265364,21225,14.65,5,1,50000,15-Sep,Fully Paid,debt_consolidation,695,1,
75215612,9975,15.31,5,1,45000,16-Mar,Fully Paid,credit_card,715,1,2
80598534,9800,12.99,5,2,35000,16-May,Fully Paid,debt_consolidation,700,1,2
46664488,7250,7.89,7,2,40000,15-May,Fully Paid,debt_consolidation,760,1,2
118599856,8000,7.97,7,2,50000,17-Sep,Charged Off,debt_consolidation,695,0,
110792900,5000,11.99,6,3,118000,17-Jun,Fully Paid,debt_consolidation,695,1,3
62609708,5600,7.89,7,1,65000,15-Oct,Fully Paid,other,730,1,4
51918557,3600,15.61,4,1,60000,15-Jun,Fully Paid,debt_consolidation,690,1,3
118647983,20000,13.59,5,2,94000,17-Sep,Fully Paid,credit_card,700,1,
49943992,5000,14.65,5,1,32343,15-May,Fully Paid,home_improvement,665,1,2
74581286,10300,15.31,5,3,31000,16-Mar,Fully Paid,credit_card,750,1,2
79945319,7000,10.75,6,2,31575,16-Jun,Fully Paid,debt_consolidation,680,1,3
41246396,30000,15.61,4,2,77250,15-Feb,Fully Paid,credit_card,680,1,1
51888456,10000,5.32,7,1,62000,15-Jun,Fully Paid,credit_card,695,1,3
112579478,12000,15.05,5,3,62000,17-Jul,Charged Off,credit_card,660,0,3
78379257,10000,15.31,5,1,45000,16-Jun,Fully Paid,debt_consolidation,680,1,3
40737738,13000,14.65,5,3,51000,15-Feb,Fully Paid,debt_consolidation,675,1,1
63407453,17000,8.18,6,2,61120,15-Oct,Fully Paid,credit_card,700,1,4
61932781,15000,9.17,6,1,38000,15-Oct,Fully Paid,credit_card,675,1,4
74584079,5000,10.75,6,1,46500,16-Mar,Charged Off,credit_card,675,0,2
38182232,4800,8.67,6,1,65000,15-Jan,Fully Paid,credit_card,730,1,1
58410623,4000,12.69,5,3,95000,15-Aug,Fully Paid,debt_consolidation,710,1,3
67278507,10000,5.32,7,1,140000,15-Dec,Fully Paid,home_improvement,720,1,1
110122241,35000,12.62,5,2,95000,17-Jun,Charged Off,credit_card,670,0,3
67248186,15000,8.38,6,2,87000,15-Dec,Fully Paid,credit_card,675,1,1
78001659,10225,16.29,4,2,99000,16-Apr,Fully Paid,credit_card,695,1,2
76834988,19500,9.75,6,1,51750,16-Apr,Fully Paid,credit_card,690,1,2
80188241,15000,10.75,6,3,150000,16-Jun,Fully Paid,debt_consolidation,660,1,3
46254408,13500,13.33,5,3,72000,15-Apr,Fully Paid,debt_consolidation,735,1,2
78092140,15000,9.75,6,2,73000,16-Apr,Fully Paid,debt_consolidation,685,1,2
39549444,10225,15.99,4,1,32000,15-Jan,Fully Paid,credit_card,695,1,1
128292772,4500,7.35,7,2,90000,18-Feb,Fully Paid,debt_consolidation,705,1,1
65494835,12175,14.33,5,3,29000,15-Nov,Fully Paid,credit_card,665,1,4
83498862,24000,10.99,6,1,102421,16-Jun,Charged Off,credit_card,725,0,3
75280935,12000,9.75,6,2,42000,16-Mar,Fully Paid,home_improvement,700,1,2
57832882,7425,20.99,3,2,23280,15-Sep,Charged Off,credit_card,670,0,
59482536,18400,12.29,5,2,67808,15-Sep,Fully Paid,debt_consolidation,695,1,
110668223,5000,9.44,6,2,60000,17-Jul,Fully Paid,credit_card,720,1,3
48685616,8000,5.93,7,1,62000,15-May,Fully Paid,debt_consolidation,745,1,2
51846899,15000,12.69,5,2,58000,15-Jun,Charged Off,vacation,665,0,3
39551503,12000,7.49,7,1,50000,15-Jan,Fully Paid,debt_consolidation,720,1,1
57064185,3000,16.55,4,2,33600,15-Aug,Fully Paid,other,675,1,3
75093711,8000,6.49,7,2,25000,16-Mar,Fully Paid,debt_consolidation,750,1,2
39589226,10000,6.03,7,3,31500,15-Jan,Fully Paid,home_improvement,810,1,1
72705179,16000,18.25,4,1,58000,16-Mar,Fully Paid,debt_consolidation,685,1,2
60972739,16000,18.25,3,2,60000,15-Oct,Charged Off,major_purchase,670,0,4
117872836,7500,14.08,5,2,45000,17-Aug,Fully Paid,debt_consolidation,665,1,3
64370616,9600,7.89,7,1,70000,15-Nov,Fully Paid,credit_card,715,1,4
102874442,7825,16.99,4,1,40790,17-Apr,Fully Paid,home_improvement,695,1,2
59252179,20000,5.32,7,1,125000,15-Aug,Fully Paid,credit_card,785,1,3
38505315,6000,12.39,5,2,65000,15-Jan,Fully Paid,debt_consolidation,660,1,1
63024452,12000,16.55,4,2,32000,15-Oct,Charged Off,debt_consolidation,695,0,4
61418515,10225,17.57,4,2,46000,15-Oct,Fully Paid,debt_consolidation,670,1,4
40520468,15000,11.44,6,1,62750,15-Feb,Charged Off,debt_consolidation,700,0,1
46346691,18625,25.57,2,2,55000,15-Apr,Fully Paid,debt_consolidation,740,1,2
77159498,10000,11.47,6,1,148000,16-Apr,Fully Paid,major_purchase,705,1,2
62499713,10000,8.18,6,2,71000,15-Oct,Fully Paid,debt_consolidation,720,1,4
77540705,32000,7.89,7,1,118000,16-May,Fully Paid,debt_consolidation,720,1,2
65220116,30000,16.55,4,2,90000,15-Nov,Charged Off,debt_consolidation,690,0,4
39249748,18000,9.49,6,2,100000,15-Jan,Fully Paid,debt_consolidation,680,1,1
65703254,6375,15.41,4,1,50000,15-Dec,Fully Paid,debt_consolidation,665,1,1
76618870,5000,9.16,6,1,128000,16-Apr,Fully Paid,home_improvement,680,1,2
59101406,5000,11.53,6,1,40602,15-Aug,Fully Paid,moving,725,1,3
50446498,8750,7.26,7,1,45000,15-May,Fully Paid,debt_consolidation,780,1,2
43125386,6000,13.99,5,2,40000,15-Mar,Fully Paid,debt_consolidation,695,1,2
109046095,31200,10.42,6,1,140000,17-May,Fully Paid,debt_consolidation,695,1,2
46641974,3000,6.68,7,1,32000,15-Apr,Fully Paid,home_improvement,755,1,2
49217722,18000,6.24,7,2,120000,15-May,Fully Paid,credit_card,705,1,2
59572858,9000,12.29,5,1,26000,15-Sep,Fully Paid,debt_consolidation,720,1,
66452137,15000,13.67,5,3,111800,15-Dec,Fully Paid,car,700,1,1
53242604,5050,12.69,5,2,33500,15-Jun,Fully Paid,debt_consolidation,680,1,3
48694925,8000,6.92,7,2,140000,15-May,Fully Paid,credit_card,700,1,2
76354603,4200,11.47,6,2,37174,16-Apr,Fully Paid,credit_card,670,1,2
75768925,25000,5.32,7,1,91000,16-Mar,Fully Paid,debt_consolidation,725,1,2
44836943,10000,12.69,5,2,55000,15-Apr,Fully Paid,debt_consolidation,685,1,2
63489474,3650,18.25,3,3,10200,15-Nov,Charged Off,debt_consolidation,675,0,4
59241835,10000,11.53,6,2,65000,15-Sep,Fully Paid,debt_consolidation,660,1,
120038343,1500,9.93,6,1,48000,17-Sep,Fully Paid,debt_consolidation,740,1,
68585504,30000,17.27,4,1,88000,15-Dec,Fully Paid,debt_consolidation,670,1,1
73833901,14000,5.32,7,1,84000,16-Mar,Fully Paid,home_improvement,735,1,2
39561600,16000,6.39,7,3,73159,15-Feb,Fully Paid,credit_card,695,1,1
129395797,30000,21.85,4,1,65000,18-Mar,Charged Off,credit_card,710,0,2
51105441,8000,13.33,5,2,51500,15-Jun,Fully Paid,debt_consolidation,660,1,3
61444079,35000,21.99,2,1,115000,15-Oct,Fully Paid,debt_consolidation,695,1,4
67298525,10000,9.76,6,2,82000,15-Dec,Charged Off,debt_consolidation,730,0,1
57245598,14325,19.19,3,2,86000,15-Aug,Charged Off,other,695,0,3
65189219,7150,14.33,5,1,50000,15-Nov,Fully Paid,credit_card,700,1,4
63114290,20000,11.53,6,1,65000,15-Oct,Fully Paid,credit_card,670,1,4
60626586,10000,11.53,6,2,38000,15-Sep,Fully Paid,credit_card,700,1,
55667150,6000,6.89,7,1,115000,15-Jul,Fully Paid,debt_consolidation,730,1,3
38528771,8000,11.44,6,2,35000,15-Jan,Fully Paid,debt_consolidation,660,1,1
38429234,3000,6.99,7,3,75000,15-Jan,Fully Paid,debt_consolidation,765,1,1
60317132,12000,12.69,5,2,100000,15-Oct,Fully Paid,debt_consolidation,675,1,4
73192602,4000,9.16,6,1,170000,16-Mar,Fully Paid,credit_card,675,1,2
50576665,15000,6.89,7,1,45000,15-Jun,Fully Paid,home_improvement,785,1,3
104163437,8400,10.49,6,1,74000,17-Apr,Charged Off,home_improvement,695,0,2
129511833,4000,7.34,7,1,50000,18-Mar,Fully Paid,credit_card,720,1,2
55564164,6000,5.32,7,1,85000,15-Jul,Fully Paid,credit_card,730,1,3
129376986,21000,21.85,4,1,85000,18-Mar,Fully Paid,debt_consolidation,685,1,2
64671585,7125,13.18,5,2,49000,15-Nov,Fully Paid,credit_card,690,1,4
60903630,10000,6.89,7,1,73000,15-Oct,Fully Paid,credit_card,750,1,4
75320302,7600,16.29,4,1,27329,16-Mar,Charged Off,debt_consolidation,685,0,2
42834953,20000,16.99,4,1,69000,15-Mar,Fully Paid,debt_consolidation,685,1,2
61662203,10000,16.55,4,2,40000,15-Oct,Charged Off,other,715,0,4
81332500,22000,15.31,5,2,66000,16-Jun,Fully Paid,debt_consolidation,695,1,3
67035343,16000,6.24,7,2,75000,15-Dec,Fully Paid,debt_consolidation,770,1,1
139413553,20000,6.11,7,1,80000,18-Sep,Fully Paid,debt_consolidation,710,1,
77471200,2000,15.31,5,1,70000,16-Apr,Fully Paid,other,665,1,2
78720583,12475,23.99,3,1,37200,16-May,Fully Paid,debt_consolidation,665,1,2
55887184,12175,12.29,5,1,60396,15-Aug,Charged Off,credit_card,700,0,3
110527301,14500,7.21,7,1,84000,17-Jun,Fully Paid,debt_consolidation,685,1,3
63285039,8000,10.99,6,1,25000,15-Oct,Charged Off,debt_consolidation,670,0,4
74552216,35000,13.67,5,1,350000,16-Mar,Fully Paid,home_improvement,800,1,2
58593021,14000,15.61,4,2,54500,15-Aug,Fully Paid,debt_consolidation,710,1,3
46808977,12000,8.18,6,1,102000,15-Apr,Fully Paid,debt_consolidation,715,1,2
41730121,14000,6.39,7,1,70000,15-Mar,Fully Paid,debt_consolidation,700,1,2
56008266,35000,17.57,4,1,84216,15-Jul,Charged Off,debt_consolidation,695,0,3
48182570,16000,15.61,4,2,70000,15-May,Charged Off,debt_consolidation,675,0,2
73764700,16000,14.46,5,1,69000,16-Mar,Fully Paid,credit_card,695,1,2
118182167,21000,10.42,6,1,71000,17-Sep,Fully Paid,debt_consolidation,735,1,
66045364,3725,8.38,6,2,20000,15-Nov,Charged Off,debt_consolidation,740,0,4
75092448,9600,9.16,6,1,72000,16-Mar,Fully Paid,credit_card,665,1,2
60706545,30000,18.55,3,2,84500,15-Sep,Fully Paid,debt_consolidation,680,1,
127182914,21000,13.59,5,1,92000,18-Jan,Fully Paid,debt_consolidation,705,1,1
84132425,5000,7.59,7,1,95000,16-Jun,Fully Paid,credit_card,720,1,3
116266944,15000,5.32,7,1,79500,17-Aug,Fully Paid,debt_consolidation,775,1,3
136418370,24000,16.14,5,1,60000,18-Jul,Fully Paid,credit_card,665,1,3
81404859,16000,14.46,5,1,64000,16-Jun,Fully Paid,debt_consolidation,685,1,3
126919251,6000,21.45,4,3,30000,18-Feb,Fully Paid,major_purchase,665,1,1
57692140,9500,15.61,4,1,120000,15-Aug,Fully Paid,other,695,1,3
46845280,16000,17.86,4,2,130000,15-Apr,Charged Off,credit_card,670,0,2
39731499,16525,17.86,4,1,60000,15-Jan,Charged Off,debt_consolidation,685,0,1
127032009,10000,9.44,6,1,55000,18-Jan,Fully Paid,credit_card,695,1,1
53455064,12000,14.65,5,2,34000,15-Jul,Fully Paid,debt_consolidation,670,1,3
110075785,9600,11.99,6,3,70000,17-Jun,Fully Paid,debt_consolidation,680,1,3
129068926,21000,7.97,7,1,90000,18-Feb,Fully Paid,debt_consolidation,710,1,1
43977420,30000,17.57,4,1,84000,15-Apr,Fully Paid,debt_consolidation,680,1,2
77520858,15000,9.75,6,2,65000,16-May,Fully Paid,debt_consolidation,670,1,2
41122323,16000,8.18,6,2,50000,15-Feb,Fully Paid,credit_card,675,1,1
49524315,15000,8.18,6,2,50000,15-May,Fully Paid,credit_card,695,1,2
41052313,1800,16.99,4,2,18000,15-Feb,Fully Paid,moving,715,1,1
64862337,24000,14.33,5,1,100000,15-Nov,Fully Paid,debt_consolidation,690,1,4
48525305,6200,12.29,5,2,28500,15-May,Fully Paid,debt_consolidation,705,1,2
63356687,20000,15.61,4,1,90000,15-Oct,Charged Off,debt_consolidation,660,0,4
76436644,20000,13.67,5,2,50000,16-Apr,Fully Paid,credit_card,695,1,2
78288836,10000,14.46,5,1,59600,16-May,Charged Off,credit_card,695,0,2
78689704,5500,11.47,6,1,35000,16-May,Fully Paid,debt_consolidation,660,1,2
65261189,12000,18.2,3,2,26661,15-Nov,Fully Paid,debt_consolidation,665,1,4
54899205,5000,12.29,5,1,93000,15-Jul,Fully Paid,debt_consolidation,685,1,3
48222155,14550,26.06,1,1,58000,15-May,Charged Off,debt_consolidation,665,0,2
43275781,11200,12.69,5,1,54500,15-Mar,Fully Paid,debt_consolidation,670,1,2
78220170,21000,10.75,6,1,106000,16-May,Charged Off,debt_consolidation,695,0,2
56099475,9500,7.89,7,1,55000,15-Aug,Fully Paid,credit_card,690,1,3
55472502,2100,15.61,4,2,50000,15-Aug,Fully Paid,moving,675,1,3
68496489,10000,5.32,7,2,80000,15-Dec,Fully Paid,credit_card,685,1,1
119073810,2000,19.03,4,2,85000,17-Sep,Charged Off,other,670,0,
66553148,35000,17.86,4,3,125000,15-Dec,Fully Paid,debt_consolidation,700,1,1
54503401,29000,6.24,7,3,65000,15-Jul,Fully Paid,debt_consolidation,735,1,3
137834590,5000,23.4,3,3,84500,18-Aug,Fully Paid,debt_consolidation,715,1,3
39660707,20000,14.99,5,2,53000,15-Jan,Fully Paid,debt_consolidation,720,1,1
44723291,9125,13.99,5,1,48304,15-Apr,Fully Paid,home_improvement,755,1,2
43520038,9725,11.53,6,1,45000,15-Apr,Charged Off,credit_card,665,0,2
39329793,10400,9.49,6,1,48000,15-Jan,Fully Paid,credit_card,735,1,1
46417064,8050,11.53,6,2,30940,15-Apr,Fully Paid,credit_card,695,1,2
117068358,5000,12.62,5,1,37000,17-Sep,Fully Paid,debt_consolidation,685,1,
104955934,27600,11.39,6,1,83000,17-Apr,Fully Paid,credit_card,730,1,2
83815362,25000,12.79,5,1,93000,16-Jun,Fully Paid,debt_consolidation,710,1,3
75143427,10000,16.29,4,2,40800,16-Mar,Charged Off,debt_consolidation,690,0,2
136269329,10000,6.67,7,2,77020,18-Jul,Fully Paid,credit_card,740,1,3
51066244,17600,9.99,6,3,128000,15-Jun,Fully Paid,credit_card,670,1,3
128314167,2000,20,4,1,26000,18-Feb,Charged Off,debt_consolidation,725,0,1
38467508,15000,10.49,6,1,69400,15-Jan,Fully Paid,credit_card,700,1,1
50426896,13925,16.55,4,2,65000,15-Jun,Charged Off,debt_consolidation,675,0,3
61550894,10000,10.99,6,3,31000,15-Oct,Fully Paid,debt_consolidation,675,1,4
78548561,16000,8.39,6,1,60000,16-May,Fully Paid,credit_card,675,1,2
52878812,29000,12.29,5,2,58000,15-Jun,Fully Paid,debt_consolidation,710,1,3
81871242,20000,16.99,4,2,84500,16-Jun,Charged Off,medical,670,0,3
47230697,21075,17.86,4,2,48000,15-May,Charged Off,debt_consolidation,730,0,2
66605134,10000,9.76,6,2,65000,15-Dec,Fully Paid,other,660,1,1
49693424,16000,17.57,4,1,55120,15-May,Charged Off,debt_consolidation,670,0,2
67515701,28000,7.91,7,1,115000,15-Dec,Fully Paid,credit_card,710,1,1
56884953,8000,11.53,6,3,40000,15-Jul,Fully Paid,other,755,1,3
41102233,19750,6.92,7,3,52000,15-Mar,Fully Paid,debt_consolidation,685,1,2
45744254,15000,12.69,5,1,98000,15-Apr,Fully Paid,debt_consolidation,665,1,2
44289318,3500,8.18,6,2,26500,15-Apr,Fully Paid,credit_card,670,1,2
56049619,12000,25.78,2,2,24000,15-Jul,Charged Off,debt_consolidation,660,0,3
39751469,5000,7.49,7,1,70000,15-Feb,Charged Off,debt_consolidation,685,0,1
46612542,32000,6.39,7,1,100000,15-Apr,Fully Paid,credit_card,725,1,2
115375405,10000,11.99,6,1,100000,17-Aug,Fully Paid,credit_card,670,1,3
119372296,30000,14.08,5,2,74000,17-Sep,Fully Paid,debt_consolidation,700,1,
59180928,20000,14.65,5,1,67000,15-Sep,Fully Paid,credit_card,710,1,
44523420,10200,17.57,4,2,35000,15-Apr,Fully Paid,debt_consolidation,780,1,2
74875416,11200,11.99,5,2,38000,16-Apr,Charged Off,car,725,0,2
55180770,14425,11.53,6,1,58000,15-Jul,Fully Paid,debt_consolidation,705,1,3
57832147,13500,12.69,5,1,73000,15-Sep,Fully Paid,debt_consolidation,690,1,
73335852,12000,11.99,5,2,46202,16-Mar,Fully Paid,debt_consolidation,675,1,2
65128633,28000,7.89,7,1,130000,15-Nov,Fully Paid,debt_consolidation,700,1,4
60813304,24000,13.99,5,1,300000,15-Oct,Fully Paid,debt_consolidation,660,1,4
61418901,18000,7.89,7,2,70000,15-Oct,Charged Off,debt_consolidation,710,0,4
112753564,15000,12.62,5,2,59466.16,17-Jul,Fully Paid,debt_consolidation,710,1,3
44523279,11000,14.65,5,3,45000,15-Apr,Charged Off,other,800,0,2
68062197,15000,9.17,6,1,100000,15-Dec,Fully Paid,debt_consolidation,670,1,1
112118333,17525,7.97,7,2,89000,17-Jul,Fully Paid,debt_consolidation,685,1,3
54484268,11925,16.55,4,3,27144,15-Jul,Fully Paid,debt_consolidation,705,1,3
112435865,8400,5.32,7,1,82000,17-Jun,Fully Paid,debt_consolidation,725,1,3
39599246,11200,12.39,5,2,54863,15-Jan,Charged Off,debt_consolidation,705,0,1
46631086,16000,9.17,6,1,122000,15-Apr,Charged Off,debt_consolidation,670,0,2
66220267,12000,21.99,2,2,40000,15-Dec,Fully Paid,credit_card,715,1,1
130143377,35000,7.34,7,1,6000,18-Mar,Fully Paid,home_improvement,805,1,2
40483511,14800,14.31,5,1,75000,15-Feb,Fully Paid,debt_consolidation,665,1,1
129872100,28850,12.61,5,3,68000,18-Mar,Charged Off,debt_consolidation,695,0,2
43125334,24825,9.17,6,2,56544,15-Mar,Fully Paid,debt_consolidation,695,1,2
104339245,6000,13.49,5,1,144000,17-Apr,Fully Paid,home_improvement,675,1,2
106915352,5400,11.44,6,1,84000,17-Apr,Fully Paid,home_improvement,660,1,2
65494413,20000,13.18,5,1,155000,15-Dec,Fully Paid,home_improvement,675,1,1
130273844,10000,5.31,7,1,85000,18-Mar,Fully Paid,debt_consolidation,800,1,2
41020782,16000,15.61,4,1,74000,15-Feb,Charged Off,credit_card,660,0,1
48816426,25000,18.55,3,2,98279,15-May,Fully Paid,debt_consolidation,675,1,2
42315623,5400,10.99,6,1,85000,15-Mar,Fully Paid,debt_consolidation,705,1,2
75798506,38500,13.67,5,2,81576,16-Apr,Fully Paid,debt_consolidation,700,1,2
