id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
129064972,14000, 36 months,7.97,A,A5,Inside Sales Rep,6 years,MORTGAGE,57000,18-Feb,Late (31-120 days),debt_consolidation,TX,770
63416205,10000, 36 months,7.89,A,A5,First Selectwoman,4 years,OWN,77000,15-Oct,Fully Paid,debt_consolidation,CT,665
55452228,10000, 36 months,13.99,C,C4,Clinical Nurse,1 year,RENT,51000,15-Jul,Charged Off,credit_card,TX,680
52229849,32000, 60 months,12.29,C,C1,Mechanical Maint,3 years,MORTGAGE,206000,15-Jun,Fully Paid,debt_consolidation,UT,720
68543878,12000, 36 months,9.17,B,B2,Plant Technician ,10+ years,RENT,87000,15-Dec,Charged Off,debt_consolidation,NY,665
128195516,8400, 36 months,13.59,C,C2,ACCOUNTANT/PAYROLL MANAGER,5 years,MORTGAGE,47000,18-Feb,Current,debt_consolidation,CA,700
75173294,23400, 36 months,13.67,C,C3,Teacher,6 years,RENT,73000,16-Mar,Fully Paid,debt_consolidation,WA,665
75153627,15000, 36 months,5.32,A,A1,Education,2 years,RENT,130000,16-Mar,Fully Paid,medical,PA,730
135724741,35000, 60 months,17.47,D,D1,Operations Manager,10+ years,MORTGAGE,95000,18-Jul,Current,debt_consolidation,NV,685
104581164,25000, 60 months,15.99,C,C5,LPN nurse,10+ years,MORTGAGE,50000,17-Apr,Charged Off,debt_consolidation,MN,720
51196563,9950, 36 months,19.99,E,E4,Business Development Manager,3 years,RENT,140000,15-Jun,Charged Off,small_business,FL,665
127279541,13000, 36 months,9.44,B,B1,Buyer,10+ years,OWN,55000,18-Jan,Current,debt_consolidation,VT,730
107036414,15000, 36 months,7.49,A,A4,Librarian,10+ years,MORTGAGE,79000,17-Apr,Current,debt_consolidation,VT,695
111998164,10000, 36 months,10.42,B,B3,Commercial Sales Manager,5 years,MORTGAGE,120000,17-Jul,Current,credit_card,AZ,705
115689308,4800, 36 months,5.32,A,A1,GAIN Services Worker,< 1 year,MORTGAGE,49000,17-Aug,Fully Paid,home_improvement,CA,780
50313365,20800, 60 months,19.19,E,E3,account manager,2 years,MORTGAGE,52000,15-Jun,Current,debt_consolidation,WV,665
49036275,3000, 36 months,16.55,D,D2,Lean Manager,5 years,MORTGAGE,40000,15-May,Fully Paid,debt_consolidation,AZ,660
140407462,12000, 60 months,18.94,D,D2,AEMT,1 year,MORTGAGE,35000,18-Sep,Current,debt_consolidation,TN,705
106573109,30000, 36 months,6.99,A,A2,Executive Vice President ISR Operations,4 years,MORTGAGE,351000,17-May,Fully Paid,credit_card,CO,780
111539327,12000, 60 months,16.02,C,C5,Assistant Mechanic,10+ years,RENT,35000,17-Jun,Current,credit_card,MN,690
79661532,14000, 60 months,14.46,C,C4,Loan Operation Specialist II,4 years,MORTGAGE,66400,16-Jun,Fully Paid,credit_card,MD,660
112789397,1500, 36 months,18.06,D,D2,Manager,5 years,RENT,48000,17-Aug,Current,other,IL,750
137820376,6000, 36 months,16.91,C,C5,TEACHER,10+ years,RENT,49000,18-Aug,Current,major_purchase,AL,680
75049675,32400, 60 months,9.75,B,B3,Correction Supervisor ,10+ years,MORTGAGE,86000,16-Mar,Fully Paid,credit_card,NJ,695
60547289,11900, 60 months,13.99,C,C4,Librarian resource,10+ years,RENT,79000,15-Sep,Fully Paid,other,VA,670
113026430,8000, 36 months,10.91,B,B4,Communications,< 1 year,RENT,70000,17-Jul,Current,debt_consolidation,CO,670
48202543,1000, 36 months,14.65,C,C5,Mechanical Designer,9 years,MORTGAGE,45000,15-May,Fully Paid,credit_card,NY,690
60961210,15000, 60 months,12.29,C,C1,Director,10+ years,MORTGAGE,67000,15-Oct,Fully Paid,debt_consolidation,IN,665
78810713,22000, 36 months,7.89,A,A5,Staffing Coordinator,6 years,MORTGAGE,52000,16-May,Fully Paid,debt_consolidation,OH,695
130064806,15000, 36 months,10.9,B,B4,Technician,3 years,MORTGAGE,55000,18-Mar,Current,debt_consolidation,NJ,675
76254295,8000, 36 months,11.99,C,C1,Waitress,10+ years,OWN,47000,16-Apr,Current,other,UT,685
39691717,21000, 36 months,8.67,B,B1,physical therapist,< 1 year,MORTGAGE,110000,15-Jan,Fully Paid,debt_consolidation,IL,720
63404738,35000, 36 months,13.33,C,C3,Assistant General Manager,4 years,MORTGAGE,102000,15-Oct,Fully Paid,debt_consolidation,TX,700
129126730,4000, 36 months,7.96,A,A5,Stylist,< 1 year,RENT,21000,18-Feb,Fully Paid,credit_card,AZ,700
63527890,7700, 36 months,7.26,A,A4,Health and Wellness Director,< 1 year,MORTGAGE,67000,15-Oct,Fully Paid,debt_consolidation,CO,720
56069879,3000, 36 months,12.69,C,C2,Labor ,10+ years,RENT,36000,15-Aug,Fully Paid,major_purchase,PA,675
104015608,35000, 60 months,15.99,C,C5,Principal,10+ years,RENT,130000,17-Apr,Fully Paid,debt_consolidation,NY,690
107510092,3600, 36 months,12.74,C,C1,Home health aide,3 years,RENT,26000,17-May,Current,credit_card,NY,685
48080165,6500, 36 months,11.53,B,B5,Manager,10+ years,OWN,50000,15-May,Fully Paid,credit_card,CA,700
63504900,30000, 36 months,9.17,B,B2,Workforce Supervisor,2 years,RENT,65000,15-Oct,Charged Off,credit_card,MN,725
127677932,12000, 36 months,7.97,A,A5,Custome Tile Installer,3 years,MORTGAGE,45000,18-Feb,Current,debt_consolidation,AZ,705
55288858,15000, 36 months,11.53,B,B5,Driver,2 years,RENT,50000,15-Jul,Fully Paid,credit_card,CA,665
136817545,6000, 36 months,7.21,A,A3,Audiology Assistanct,3 years,MORTGAGE,42620,18-Jul,Current,credit_card,MN,750
118334025,8000, 36 months,19.03,D,D3,Manager,10+ years,MORTGAGE,89000,17-Sep,Current,major_purchase,FL,660
107637675,7000, 36 months,9.44,B,B1,Teacher,9 years,MORTGAGE,43000,17-Jun,Current,debt_consolidation,KS,705
116207685,12000, 60 months,19.03,D,D3,Wire Technician ,2 years,RENT,60000,17-Aug,Charged Off,credit_card,FL,675
61632795,12000, 36 months,12.29,C,C1,Manager,10+ years,OWN,85000,15-Oct,Charged Off,debt_consolidation,IL,670
61449272,9600, 36 months,7.89,A,A5,St. Land Analyst,2 years,MORTGAGE,130000,15-Oct,Fully Paid,home_improvement,TX,680
790015,17600, 60 months,13.99,C,C4,nurse practitioner,10+ years,MORTGAGE,100000,15-Jul,Fully Paid,major_purchase,OH,665
40432316,10000, 36 months,15.99,D,D2,Software Consultant,10+ years,MORTGAGE,97000,15-Feb,Fully Paid,other,IL,665
110733596,24000, 36 months,9.93,B,B2,Teller/Cashier,< 1 year,RENT,36000,17-Jun,Current,credit_card,TX,690
73825480,8000, 36 months,14.46,C,C4,Mechanic,10+ years,OWN,60000,16-Mar,Fully Paid,home_improvement,WA,685
62246145,25000, 36 months,12.69,C,C2,Sergeant ,10+ years,RENT,75000,15-Oct,Charged Off,debt_consolidation,HI,670
59179820,18000, 36 months,9.17,B,B2,School Adminstrator,5 years,RENT,104000,15-Sep,Fully Paid,debt_consolidation,CA,685
74656894,12000, 60 months,15.31,C,C5,Owner,5 years,RENT,34000,16-Mar,Charged Off,debt_consolidation,IN,665
127090839,40000, 60 months,10.91,B,B4,Chief/Financial Analyst,10+ years,MORTGAGE,218000,18-Jan,Current,credit_card,VA,730
103755909,3000, 36 months,17.99,D,D2,Receptionist,4 years,RENT,18000,17-Apr,Current,other,IN,690
140413307,10000, 36 months,10.47,B,B2,Phytech,10+ years,MORTGAGE,60000,18-Sep,Current,debt_consolidation,CO,705
50093772,24000, 36 months,11.53,B,B5,Data Analyst,< 1 year,RENT,75000,15-Jun,Charged Off,credit_card,NC,710
46144325,9000, 36 months,7.89,A,A5,Clerk,6 years,RENT,50000,15-Apr,Fully Paid,debt_consolidation,NY,710
114771874,24000, 60 months,9.93,B,B2,Director of Service Coordination,1 year,MORTGAGE,99300,17-Aug,Current,debt_consolidation,TX,720
40960193,28800, 36 months,9.17,B,B2,Director Finance,2 years,RENT,148500,15-Feb,Fully Paid,debt_consolidation,NY,710
77861629,10000, 36 months,16.29,D,D1,Accounts receivable ,2 years,RENT,50000,16-May,Current,other,CA,700
60327119,9000, 36 months,6.89,A,A3,Operations Manager,3 years,RENT,45000,15-Sep,Fully Paid,credit_card,HI,710
109039955,4000, 36 months,19.03,D,D3,Technician,< 1 year,MORTGAGE,55000,17-May,Charged Off,debt_consolidation,AZ,675
57478575,8000, 36 months,14.65,C,C5,Account manager,2 years,RENT,100000,15-Aug,Fully Paid,debt_consolidation,CA,665
105537118,2000, 36 months,7.49,A,A4,Branch Manager,< 1 year,RENT,54000,17-Apr,Fully Paid,debt_consolidation,TX,710
39470717,8000, 36 months,12.39,C,C1,Project Manager,8 years,RENT,41699,15-Jan,Fully Paid,debt_consolidation,CA,690
83685554,4900, 36 months,22.39,E,E1,Football Coach,10+ years,RENT,42000,16-Jun,Charged Off,moving,AL,695
113841611,15000, 36 months,7.07,A,A2,Director,10+ years,MORTGAGE,71000,17-Jul,Current,debt_consolidation,NV,770
115390112,6500, 36 months,10.91,B,B4,Accounts Payable,8 years,MORTGAGE,41500,17-Aug,Fully Paid,debt_consolidation,CA,730
108689673,7000, 36 months,12.62,C,C1,Correctional Officer,< 1 year,RENT,55000,17-May,Current,debt_consolidation,RI,660
139010869,15000, 36 months,6.67,A,A2,Ceo,< 1 year,RENT,150000,18-Sep,Current,credit_card,TX,760
76263015,20000, 36 months,13.67,C,C3,Banquet Manager ,10+ years,RENT,67000,16-Apr,Current,debt_consolidation,WI,660
52536294,3200, 36 months,16.99,D,D3,multimedia tech,10+ years,MORTGAGE,70000,15-Jun,Fully Paid,home_improvement,GA,660
113683105,5500, 36 months,9.44,B,B1,School Bus Driver ,3 years,RENT,30000,17-Jul,Current,debt_consolidation,NJ,720
76323872,16000, 36 months,16.29,D,D1,Sales manager,7 years,RENT,46000,16-Apr,Current,debt_consolidation,OH,690
49307448,35000, 36 months,15.61,D,D1,Senior Project Manager Executive Team,10+ years,MORTGAGE,84000,15-Jun,Fully Paid,credit_card,TX,685
114083095,5000, 36 months,13.59,C,C2,Teacher ,3 years,RENT,52800,17-Aug,Current,debt_consolidation,NY,660
44249241,13250, 36 months,14.65,C,C5,SECURITY,8 years,RENT,37000,15-Apr,Charged Off,other,MA,690
79845184,20000, 60 months,8.39,B,B1,B,10+ years,MORTGAGE,120000,16-Jun,Current,credit_card,MI,705
127411406,5000, 36 months,16.02,C,C5,Teacher Assistant,3 years,OWN,25000,18-Jan,Current,credit_card,FL,665
52596387,10000, 36 months,12.69,C,C2,Driver,< 1 year,OWN,80000,15-Jun,Fully Paid,credit_card,NY,690
117130110,10000, 36 months,9.44,B,B1,operations,6 years,RENT,60000,17-Sep,Fully Paid,debt_consolidation,FL,695
75099125,10000, 36 months,17.27,D,D2,Housekeeping ,< 1 year,OWN,25000,16-Mar,Fully Paid,debt_consolidation,MD,700
139714578,10000, 36 months,16.91,C,C5,Sr Underwriter ,2 years,MORTGAGE,100000,18-Sep,Fully Paid,house,SC,695
138546620,20000, 36 months,11.55,B,B4,Lawyer,1 year,RENT,150000,18-Aug,Current,credit_card,MN,680
102045409,35000, 60 months,11.39,B,B3,Managing Partner,2 years,RENT,185000,17-Apr,Current,credit_card,TX,690
60792956,10350, 36 months,16.99,D,D3,frac supervisor,1 year,OWN,144185,15-Oct,Charged Off,other,TX,670
45814393,10000, 36 months,6.39,A,A2,Ocxupational therapist ,1 year,MORTGAGE,70000,15-Apr,Fully Paid,credit_card,TX,695
129580675,6000, 36 months,9.92,B,B2,Upholsterer,10+ years,MORTGAGE,45000,18-Mar,Current,debt_consolidation,OK,745
111056880,6000, 36 months,7.35,A,A4,Teacher,< 1 year,RENT,62000,17-Jun,Current,debt_consolidation,NY,785
136291518,15000, 36 months,22.35,D,D5,Manager,8 years,OWN,50000,18-Jul,Current,credit_card,NY,705
52076772,6000, 36 months,13.33,C,C3,lab ,10+ years,RENT,55000,15-Jun,Charged Off,renewable_energy,FL,745
104624140,40000, 36 months,5.32,A,A1,Logistics Manager,< 1 year,MORTGAGE,115000,17-Apr,Current,credit_card,IL,700
63504389,10500, 60 months,17.86,D,D5,Waitress,4 years,RENT,25000,15-Oct,Fully Paid,debt_consolidation,SC,675
106085789,30000, 36 months,11.44,B,B4,Dental Hygienist,10+ years,MORTGAGE,96000,17-Apr,Current,credit_card,NV,695
50616760,10200, 60 months,13.99,C,C4,VICE PRESIDENT ,4 years,MORTGAGE,235000,15-May,Current,debt_consolidation,NY,695
120006745,11200, 36 months,14.08,C,C3,Senior Project Manager ,10+ years,MORTGAGE,96000,17-Sep,Fully Paid,debt_consolidation,OR,730
105729954,30000, 36 months,16.02,C,C5,Product Manager,3 years,MORTGAGE,207000,17-Jun,Current,home_improvement,FL,665
68475190,20000, 60 months,13.99,C,C4,Electrical Maintenance Supervisor,10+ years,MORTGAGE,78000,15-Dec,Fully Paid,debt_consolidation,OH,705
53030329,5800, 36 months,19.19,E,E3,Pharmacy tech,10+ years,MORTGAGE,65000,15-Jul,Charged Off,debt_consolidation,MN,660
55948948,14600, 36 months,9.17,B,B2,QDRO Analyst,4 years,MORTGAGE,42000,15-Jul,Fully Paid,debt_consolidation,NM,750
137966734,10000, 36 months,11.55,B,B4,Owner,10+ years,RENT,40000,18-Aug,Current,credit_card,CA,665
42434164,6725, 36 months,16.99,D,D3,ATP/ Service Manager,8 years,RENT,50000,15-Mar,Charged Off,debt_consolidation,CA,680
65139677,12000, 60 months,15.41,D,D1,parts,7 years,MORTGAGE,32000,15-Nov,Current,debt_consolidation,LA,685
54078401,20000, 36 months,15.61,D,D1,Electrical Foreman,1 year,RENT,75000,15-Jul,Fully Paid,debt_consolidation,TX,685
67358468,15000, 60 months,13.67,C,C4,Tech/sales,1 year,RENT,150000,15-Dec,Current,other,TX,675
136626227,13000, 36 months,13.56,C,C1,Design Engineer,10+ years,RENT,75000,18-Jul,Current,credit_card,IN,750
138419139,16000, 60 months,11.06,B,B3,Registered Nurse,6 years,MORTGAGE,56000,18-Aug,Current,credit_card,PA,660
72615321,12600, 36 months,16.29,D,D1,maintenece man,1 year,RENT,35000,16-Mar,Fully Paid,debt_consolidation,WI,665
56091966,12000, 60 months,17.86,D,D5,Co Manager,4 years,MORTGAGE,49000,15-Aug,Charged Off,debt_consolidation,NY,665
56884230,35000, 60 months,18.25,E,E1,DS II,10+ years,MORTGAGE,90000,15-Aug,Fully Paid,credit_card,NV,660
111071721,14000, 60 months,7.97,A,A5,Admin. Asst.,10+ years,MORTGAGE,82000,17-Jun,Current,home_improvement,IL,815
112762159,36000, 60 months,9.44,B,B1,Regional CE Director,2 years,MORTGAGE,160000,17-Jul,Current,debt_consolidation,FL,750
55908699,25000, 60 months,14.65,C,C5,Director of Special Education ,2 years,MORTGAGE,100500,15-Jul,Fully Paid,debt_consolidation,IL,725
113025189,4500, 36 months,10.42,B,B3,Field tech,8 years,MORTGAGE,86000,17-Jul,Fully Paid,debt_consolidation,CA,700
61313394,22000, 60 months,14.65,C,C5,"Advisory Specialist,AVP",1 year,MORTGAGE,80000,15-Oct,Fully Paid,debt_consolidation,NC,730
74532632,6900, 36 months,12.99,C,C2,Field Service Supervisor,10+ years,MORTGAGE,115000,16-Mar,Fully Paid,other,TX,705
129106621,12500, 36 months,7.34,A,A4,Sole Proprietor,10+ years,OWN,45000,18-Feb,Current,home_improvement,MN,710
135081829,14000, 36 months,10.56,B,B3,Laborer,1 year,MORTGAGE,42000,18-Jul,Current,debt_consolidation,NY,725
77269269,25000, 36 months,7.89,A,A5,Senior service tech,3 years,MORTGAGE,53000,16-Apr,Current,debt_consolidation,GA,730
127276098,15000, 36 months,9.93,B,B2,Server,10+ years,OWN,50000,18-Jan,Current,credit_card,NV,745
66490723,6875, 36 months,11.99,C,C1,Broker/office manager,10+ years,MORTGAGE,62000,15-Dec,Charged Off,debt_consolidation,IN,665
65747504,12000, 36 months,11.49,B,B5,Factory line worker,10+ years,MORTGAGE,54000,15-Nov,Fully Paid,credit_card,VA,705
61453862,9100, 36 months,6.24,A,A2,Manufacturing Engineer,10+ years,MORTGAGE,61500,15-Oct,Fully Paid,debt_consolidation,VA,725
65707692,25000, 36 months,9.99,B,B3,CEO,10+ years,OWN,300000,15-Dec,Fully Paid,credit_card,PA,670
43034336,13200, 60 months,12.29,C,C1,Teacher,1 year,RENT,50000,15-Mar,Current,debt_consolidation,CA,665
112436757,18000, 60 months,16.02,C,C5,Police Officer,10+ years,MORTGAGE,122000,17-Jul,Current,debt_consolidation,NV,700
65692483,31500, 60 months,19.99,E,E4,Craft Sevices,4 years,RENT,75000,15-Nov,Charged Off,debt_consolidation,NY,665
130806374,7000, 36 months,7.34,A,A4,2nd pressman,4 years,RENT,50000,18-Mar,Current,home_improvement,FL,690
38331332,8000, 36 months,12.39,C,C1,Health Technician/Medical Assistant,10+ years,RENT,47000,15-Jan,Fully Paid,moving,NY,710
48615237,4000, 36 months,15.61,D,D1,Captain,10+ years,MORTGAGE,87000,15-May,Fully Paid,other,SC,665
77210324,8000, 36 months,11.47,B,B5,Medical Coder,6 years,RENT,100000,16-Apr,Charged Off,other,TX,685
65615505,5600, 36 months,11.49,B,B5,Finance Manager,8 years,OWN,55000,15-Nov,Fully Paid,credit_card,TN,665
73540291,5000, 36 months,10.75,B,B4,Regional Manager,10+ years,RENT,147000,16-Mar,Fully Paid,debt_consolidation,WA,675
76447246,24925, 60 months,19.99,E,E1,Mechanic,10+ years,MORTGAGE,80000,16-Apr,Fully Paid,debt_consolidation,GA,660
68593301,6000, 36 months,7.49,A,A4,Therapist,8 years,OWN,68200,15-Dec,Fully Paid,credit_card,FL,735
76223662,15000, 36 months,5.32,A,A1,Manager Operational Analysis,8 years,MORTGAGE,105000,16-Apr,Fully Paid,major_purchase,TX,830
79611778,17000, 60 months,14.46,C,C4,Case Planner,< 1 year,RENT,50000,16-Jun,Current,debt_consolidation,MI,660
51356719,12000, 36 months,9.17,B,B2,Project Manager,< 1 year,RENT,70000,15-Jun,Fully Paid,credit_card,PA,685
67555487,6025, 36 months,11.22,B,B5,Director,4 years,MORTGAGE,48000,15-Dec,Charged Off,home_improvement,MA,690
77015212,7200, 36 months,10.75,B,B4,Cashier,2 years,RENT,22000,16-Apr,Current,credit_card,MI,670
75370414,20000, 60 months,19.99,E,E1,OFFICE MANAGER,4 years,MORTGAGE,62400,16-Apr,Current,credit_card,IL,700
73598892,18000, 36 months,9.75,B,B3,Grey Eagle UAS Operator,5 years,OWN,69528,16-Mar,Fully Paid,debt_consolidation,TX,730
56995177,18000, 60 months,9.17,B,B2,CEO,10+ years,MORTGAGE,115000,15-Aug,Fully Paid,debt_consolidation,FL,720
52321481,9000, 36 months,11.53,B,B5,Pipefitter,< 1 year,RENT,86000,15-Jul,Fully Paid,debt_consolidation,NV,660
46487364,2250, 36 months,15.61,D,D1,Assistant Teacher,1 year,RENT,30000,15-Apr,Fully Paid,debt_consolidation,NY,675
72772948,12500, 36 months,17.27,D,D2,Production Manager,10+ years,MORTGAGE,60000,16-Mar,Fully Paid,debt_consolidation,IN,665
113850226,6000, 36 months,9.93,B,B2,Systems Development,10+ years,MORTGAGE,76500,17-Jul,Current,medical,NC,685
117884868,15000, 60 months,18.06,D,D2,Legal office services supervisor ,10+ years,MORTGAGE,71000,17-Sep,Charged Off,credit_card,NV,660
128695420,19025, 60 months,14.08,C,C3,DATA ANALYST,3 years,RENT,78178,18-Feb,Fully Paid,credit_card,MN,685
63456495,14675, 36 months,12.29,C,C1,owner,10+ years,MORTGAGE,40000,15-Oct,Fully Paid,credit_card,SC,690
139881579,30000, 60 months,11.06,B,B3,Internal Wholesaler,5 years,MORTGAGE,100000,18-Sep,In Grace Period,debt_consolidation,AZ,730
41429589,4600, 36 months,13.33,C,C3,A Product Attendant,10+ years,RENT,45000,15-Feb,Fully Paid,debt_consolidation,NC,685
81435114,6000, 36 months,8.59,A,A5,Regional Sales Manager,10+ years,OWN,110000,16-Jun,Current,other,AZ,750
71026847,7000, 36 months,14.46,C,C4,Medical assistant,8 years,OWN,30000,16-Mar,Charged Off,debt_consolidation,SC,660
46653719,28000, 60 months,12.29,C,C1,Managing Director/ Owner,9 years,MORTGAGE,210000,15-May,Fully Paid,credit_card,FL,665
137100282,6000, 36 months,14.47,C,C2,patient care tech,< 1 year,RENT,28000,18-Jul,Current,debt_consolidation,FL,690
137543127,20000, 60 months,16.14,C,C4,Tax Examiner,10+ years,OWN,73463,18-Jul,Current,debt_consolidation,TN,680
38624341,5600, 36 months,12.99,C,C2,Production Supervisor,10+ years,RENT,65000,15-Jan,Charged Off,debt_consolidation,IN,740
65413458,11225, 36 months,16.99,D,D3,carpenter,3 years,OWN,52000,15-Dec,Fully Paid,debt_consolidation,MI,705
137444504,10000, 36 months,16.91,C,C5,President/Owner ,5 years,RENT,140000,18-Jul,Current,debt_consolidation,CA,660
80651043,30000, 36 months,18.25,D,D3,Herd manager ,10+ years,MORTGAGE,60000,16-Jun,Fully Paid,debt_consolidation,AZ,700
58852738,30000, 36 months,6.89,A,A3,Endowed full tenured professor,10+ years,MORTGAGE,142000,15-Sep,Fully Paid,credit_card,NY,680
68445725,10050, 60 months,17.27,D,D3,Library Associate,10+ years,RENT,34000,15-Dec,Current,credit_card,OH,710
71602252,11200, 36 months,9.16,B,B2,Department Manager,10+ years,RENT,28000,16-Mar,Fully Paid,debt_consolidation,TX,660
75203173,30000, 36 months,12.99,C,C2,Manager - Partner Services,4 years,MORTGAGE,133250,16-Apr,Current,credit_card,OK,665
74825606,9000, 36 months,15.31,C,C5,Retail Sales Associate,2 years,RENT,36000,16-Mar,Fully Paid,debt_consolidation,MA,660
39540962,12000, 60 months,8.67,B,B1,General Manager,4 years,MORTGAGE,60000,15-Feb,Current,credit_card,NC,690
67277593,4000, 36 months,18.49,E,E2,Web Manager,1 year,OWN,57000,15-Dec,Charged Off,medical,SC,670
61461016,6000, 36 months,12.29,C,C1,Ultrasound tech,2 years,RENT,89000,15-Oct,Fully Paid,debt_consolidation,WA,660
58494172,10550, 60 months,16.55,D,D2,police office,8 years,MORTGAGE,60000,15-Sep,Charged Off,debt_consolidation,PA,690
116613431,12000, 36 months,15.05,C,C4,Director of clinical services,1 year,RENT,98000,17-Aug,Current,debt_consolidation,CA,665
140835741,35000, 36 months,10.08,B,B1,Learning Manager,10+ years,MORTGAGE,126000,18-Sep,Current,debt_consolidation,NJ,705
79014566,35000, 36 months,16.29,D,D1,Advanced Registered Nurse,< 1 year,MORTGAGE,120000,16-May,Fully Paid,credit_card,WA,690
65271550,16000, 60 months,15.41,D,D1,Owner,2 years,RENT,261000,15-Dec,Late (31-120 days),small_business,CA,690
139007135,6600, 36 months,7.84,A,A4,Front Office Manager ,1 year,MORTGAGE,38400,18-Aug,Fully Paid,debt_consolidation,GA,695
67888702,5000, 36 months,7.26,A,A4,Machine  Operator,10+ years,RENT,43000,15-Dec,Fully Paid,debt_consolidation,CA,705
119575387,17000, 36 months,11.99,B,B5,Area Administrative Manager,10+ years,RENT,75000,17-Sep,Fully Paid,major_purchase,NY,750
126276074,16000, 36 months,14.08,C,C3,Cosmetologist ,5 years,RENT,45000,18-Jan,Current,credit_card,ND,685
66422034,7700, 36 months,11.99,C,C1,Account Mgr,< 1 year,MORTGAGE,47500,15-Dec,Fully Paid,debt_consolidation,TN,680
112957487,18000, 36 months,7.97,A,A5,Program manager ,7 years,MORTGAGE,140000,17-Jul,Current,debt_consolidation,TX,715
40420928,14000, 60 months,16.99,D,D3,Owner,3 years,MORTGAGE,36000,15-Feb,Fully Paid,small_business,WA,660
43135562,7000, 36 months,10.99,B,B4,Aircraft Worker,< 1 year,RENT,63500,15-Mar,Fully Paid,major_purchase,FL,680
42484831,4200, 36 months,18.25,E,E1,teller ,1 year,RENT,24000,15-Mar,Fully Paid,other,CA,670
126797387,25000, 60 months,12.62,C,C1,Counselor,2 years,RENT,51000,18-Jan,Current,debt_consolidation,AL,735
110757925,21000, 60 months,14.08,C,C3,Teacher ,5 years,RENT,53000,17-Jul,Current,debt_consolidation,FL,705
136805120,6000, 36 months,11.55,B,B4,District Sales Executive ,3 years,RENT,107000,18-Jul,Current,credit_card,CA,675
77588933,13000, 36 months,14.46,C,C4,Truck Driver,1 year,MORTGAGE,65000,16-May,Charged Off,debt_consolidation,MS,670
50447491,20000, 60 months,16.55,D,D2,local lineman,10+ years,MORTGAGE,75000,15-Jun,Fully Paid,debt_consolidation,AL,670
38637752,20000, 36 months,14.31,C,C4,it analyst,10+ years,MORTGAGE,90000,15-Jan,Fully Paid,debt_consolidation,CA,705
54394858,4000, 36 months,13.33,C,C3,Technician,10+ years,MORTGAGE,60000,15-Jul,Fully Paid,debt_consolidation,VA,710
128715521,13000, 60 months,16.02,C,C5,Driver ,7 years,MORTGAGE,60000,18-Feb,Current,debt_consolidation,NC,710
72624933,30000, 60 months,17.27,D,D2,Professor ,5 years,RENT,120000,16-Feb,Charged Off,debt_consolidation,TX,685
102524725,16000, 60 months,12.74,C,C1,Accountant,3 years,MORTGAGE,55000,17-Apr,Current,debt_consolidation,AZ,665
