,id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
237686,52678260,9650.0, 36 months,16.55,D,D2,,,RENT,23000.0,Jul-15,Fully Paid,debt_consolidation,CA,665.0
552013,118693044,7000.0, 36 months,10.91,B,B4,Customer Service Coordinator,2 years,MORTGAGE,50000.0,Sep-17,Current,debt_consolidation,SC,730.0
169423,58410892,7000.0, 36 months,14.65,C,C5,Teacher ,4 years,RENT,55000.0,Aug-15,Fully Paid,debt_consolidation,IL,690.0
459217,129227133,10000.0, 36 months,16.01,C,C5,Bus Driver,10+ years,MORTGAGE,45000.0,Mar-18,Current,other,NY,675.0
833812,137796710,8000.0, 36 months,18.94,D,D2,Vice President,9 years,RENT,150000.0,Jul-18,Current,other,NY,660.0
291004,48141190,18925.0, 60 months,16.55,D,D2,Systems Engineer,9 years,MORTGAGE,126000.0,May-15,Current,debt_consolidation,VA,685.0
784769,139341163,5000.0, 36 months,7.21,A,A3,Director,10+ years,MORTGAGE,56325.0,Sep-18,Current,home_improvement,CT,775.0
470053,129064972,14000.0, 36 months,7.97,A,A5,Inside Sales Rep,6 years,MORTGAGE,57000.0,Feb-18,Late (31-120 days),debt_consolidation,TX,770.0
122699,61488670,25000.0, 60 months,18.25,E,E1,,,MORTGAGE,68100.0,Oct-15,Fully Paid,debt_consolidation,AZ,700.0
89342,63416205,10000.0, 36 months,7.89,A,A5,First Selectwoman,4 years,OWN,77000.0,Oct-15,Fully Paid,debt_consolidation,CT,665.0
211949,55452228,10000.0, 36 months,13.99,C,C4,Clinical Nurse,1 year,RENT,51000.0,Jul-15,Charged Off,credit_card,TX,680.0
245116,52229849,32000.0, 60 months,12.29,C,C1,Mechanical Maint,3 years,MORTGAGE,206000.0,Jun-15,Fully Paid,debt_consolidation,UT,720.0
948661,107306581,4800.0, 36 months,11.39,B,B3,,,MORTGAGE,52108.0,May-17,Current,debt_consolidation,KS,690.0
4430,68543878,12000.0, 36 months,9.17,B,B2,Plant Technician ,10+ years,RENT,87000.0,Dec-15,Charged Off,debt_consolidation,NY,665.0
487361,128195516,8400.0, 36 months,13.59,C,C2,ACCOUNTANT/PAYROLL MANAGER,5 years,MORTGAGE,47000.0,Feb-18,Current,debt_consolidation,CA,700.0
1000081,75173294,23400.0, 36 months,13.67,C,C3,Teacher,6 years,RENT,73000.0,Mar-16,Fully Paid,debt_consolidation,WA,665.0
988052,75153627,15000.0, 36 months,5.32,A,A1,Education,2 years,RENT,130000.0,Mar-16,Fully Paid,medical,PA,730.0
724695,77199878,18000.0, 60 months,16.29,D,D1,,,OWN,50000.0,Apr-16,Current,debt_consolidation,MO,700.0
875448,135724741,35000.0, 60 months,17.47,D,D1,Operations Manager,10+ years,MORTGAGE,95000.0,Jul-18,Current,debt_consolidation,NV,685.0
976573,104581164,25000.0, 60 months,15.99,C,C5,LPN nurse,10+ years,MORTGAGE,50000.0,Apr-17,Charged Off,debt_consolidation,MN,720.0
258801,51196563,9950.0, 36 months,19.99,E,E4,Business Development Manager,3 years,RENT,140000.0,Jun-15,Charged Off,small_business,FL,665.0
504230,127279541,13000.0, 36 months,9.44,B,B1,Buyer,10+ years,OWN,55000.0,Jan-18,Current,debt_consolidation,VT,730.0
952600,107036414,15000.0, 36 months,7.49,A,A4,Librarian,10+ years,MORTGAGE,79000.0,Apr-17,Current,debt_consolidation,VT,695.0
648099,111998164,10000.0, 36 months,10.42,B,B3,Commercial Sales Manager,5 years,MORTGAGE,120000.0,Jul-17,Current,credit_card,AZ,705.0
599128,115689308,4800.0, 36 months,5.32,A,A1,GAIN Services Worker,< 1 year,MORTGAGE,49000.0,Aug-17,Fully Paid,home_improvement,CA,780.0
271984,50313365,20800.0, 60 months,19.19,E,E3,account manager,2 years,MORTGAGE,52000.0,Jun-15,Current,debt_consolidation,WV,665.0
281896,49036275,3000.0, 36 months,16.55,D,D2,Lean Manager,5 years,MORTGAGE,40000.0,May-15,Fully Paid,debt_consolidation,AZ,660.0
760140,140407462,12000.0, 60 months,18.94,D,D2,AEMT,1 year,MORTGAGE,35000.0,Sep-18,Current,debt_consolidation,TN,705.0
40481,66075366,8000.0, 36 months,13.18,C,C3,,,RENT,36000.0,Dec-15,Fully Paid,debt_consolidation,IL,675.0
947163,106573109,30000.0, 36 months,6.99,A,A2,Executive Vice President ISR Operations,4 years,MORTGAGE,351000.0,May-17,Fully Paid,credit_card,CO,780.0
887397,111539327,12000.0, 60 months,16.02,C,C5,Assistant Mechanic,10+ years,RENT,35000.0,Jun-17,Current,credit_card,MN,690.0
679757,79661532,14000.0, 60 months,14.46,C,C4,Loan Operation Specialist II,4 years,MORTGAGE,66400.0,Jun-16,Fully Paid,credit_card,MD,660.0
604926,112789397,1500.0, 36 months,18.06,D,D2,Manager,5 years,RENT,48000.0,Aug-17,Current,other,IL,750.0
823008,137820376,6000.0, 36 months,16.91,C,C5,TEACHER,10+ years,RENT,49000.0,Aug-18,Current,major_purchase,AL,680.0
985240,75049675,32400.0, 60 months,9.75,B,B3,Correction Supervisor ,10+ years,MORTGAGE,86000.0,Mar-16,Fully Paid,credit_card,NJ,695.0
137336,60547289,11900.0, 60 months,13.99,C,C4,Librarian resource,10+ years,RENT,79000.0,Sep-15,Fully Paid,other,VA,670.0
635690,113026430,8000.0, 36 months,10.91,B,B4,Communications,< 1 year,RENT,70000.0,Jul-17,Current,debt_consolidation,CO,670.0
287343,48202543,1000.0, 36 months,14.65,C,C5,Mechanical Designer,9 years,MORTGAGE,45000.0,May-15,Fully Paid,credit_card,NY,690.0
96976,60961210,15000.0, 60 months,12.29,C,C1,Director,10+ years,MORTGAGE,67000.0,Oct-15,Fully Paid,debt_consolidation,IN,665.0
696780,78810713,22000.0, 36 months,7.89,A,A5,Staffing Coordinator,6 years,MORTGAGE,52000.0,May-16,Fully Paid,debt_consolidation,OH,695.0
443823,130064806,15000.0, 36 months,10.9,B,B4,Technician,3 years,MORTGAGE,55000.0,Mar-18,Current,debt_consolidation,NJ,675.0
739611,76254295,8000.0, 36 months,11.99,C,C1,Waitress,10+ years,OWN,47000.0,Apr-16,Current,other,UT,685.0
392711,39691717,21000.0, 36 months,8.67,B,B1,physical therapist,< 1 year,MORTGAGE,110000.0,Jan-15,Fully Paid,debt_consolidation,IL,720.0
85930,63404738,35000.0, 36 months,13.33,C,C3,Assistant General Manager,4 years,MORTGAGE,102000.0,Oct-15,Fully Paid,debt_consolidation,TX,700.0
460992,129126730,4000.0, 36 months,7.96,A,A5,Stylist,< 1 year,RENT,21000.0,Feb-18,Fully Paid,credit_card,AZ,700.0
84895,63527890,7700.0, 36 months,7.26,A,A4,Health and Wellness Director,< 1 year,MORTGAGE,67000.0,Oct-15,Fully Paid,debt_consolidation,CO,720.0
174610,56069879,3000.0, 36 months,12.69,C,C2,Labor ,10+ years,RENT,36000.0,Aug-15,Fully Paid,major_purchase,PA,675.0
980254,104015608,35000.0, 60 months,15.99,C,C5,Principal,10+ years,RENT,130000.0,Apr-17,Fully Paid,debt_consolidation,NY,690.0
921118,107510092,3600.0, 36 months,12.74,C,C1,Home health aide,3 years,RENT,26000.0,May-17,Current,credit_card,NY,685.0
293877,48080165,6500.0, 36 months,11.53,B,B5,Manager,10+ years,OWN,50000.0,May-15,Fully Paid,credit_card,CA,700.0
91996,63504900,30000.0, 36 months,9.17,B,B2,Workforce Supervisor,2 years,RENT,65000.0,Oct-15,Charged Off,credit_card,MN,725.0
470832,127677932,12000.0, 36 months,7.97,A,A5,Custome Tile Installer,3 years,MORTGAGE,45000.0,Feb-18,Current,debt_consolidation,AZ,705.0
221697,55288858,15000.0, 36 months,11.53,B,B5,Driver,2 years,RENT,50000.0,Jul-15,Fully Paid,credit_card,CA,665.0
858107,136817545,6000.0, 36 months,7.21,A,A3,Audiology Assistanct,3 years,MORTGAGE,42620.0,Jul-18,Current,credit_card,MN,750.0
558192,118334025,8000.0, 36 months,19.03,D,D3,Manager,10+ years,MORTGAGE,89000.0,Sep-17,Current,major_purchase,FL,660.0
914632,107637675,7000.0, 36 months,9.44,B,B1,Teacher,9 years,MORTGAGE,43000.0,Jun-17,Current,debt_consolidation,KS,705.0
591931,116207685,12000.0, 60 months,19.03,D,D3,Wire Technician ,2 years,RENT,60000.0,Aug-17,Charged Off,credit_card,FL,675.0
449999,129821083,19000.0, 60 months,14.07,C,C3,,,MORTGAGE,52000.0,Mar-18,Current,debt_consolidation,FL,695.0
25336,65844793,10000.0, 36 months,9.76,B,B3,,,MORTGAGE,44300.0,Dec-15,Fully Paid,debt_consolidation,OR,700.0
107485,61632795,12000.0, 36 months,12.29,C,C1,Manager,10+ years,OWN,85000.0,Oct-15,Charged Off,debt_consolidation,IL,670.0
583572,116586964,10000.0, 36 months,11.99,B,B5,,,MORTGAGE,50000.0,Aug-17,Fully Paid,debt_consolidation,OR,675.0
512750,125893841,40000.0, 60 months,15.05,C,C4,,,RENT,250000.0,Jan-18,Current,credit_card,FL,700.0
112747,61449272,9600.0, 36 months,7.89,A,A5,St. Land Analyst,2 years,MORTGAGE,130000.0,Oct-15,Fully Paid,home_improvement,TX,680.0
185458,790015,17600.0, 60 months,13.99,C,C4,nurse practitioner,10+ years,MORTGAGE,100000.0,Jul-15,Fully Paid,major_purchase,OH,665.0
378893,40432316,10000.0, 36 months,15.99,D,D2,Software Consultant,10+ years,MORTGAGE,97000.0,Feb-15,Fully Paid,other,IL,665.0
895759,110733596,24000.0, 36 months,9.93,B,B2,Teller/Cashier,< 1 year,RENT,36000.0,Jun-17,Current,credit_card,TX,690.0
1014747,73825480,8000.0, 36 months,14.46,C,C4,Mechanic,10+ years,OWN,60000.0,Mar-16,Fully Paid,home_improvement,WA,685.0
183503,57226205,24000.0, 36 months,9.17,B,B2,,,RENT,94404.0,Aug-15,Fully Paid,debt_consolidation,CA,710.0
103123,62246145,25000.0, 36 months,12.69,C,C2,Sergeant ,10+ years,RENT,75000.0,Oct-15,Charged Off,debt_consolidation,HI,670.0
152934,59179820,18000.0, 36 months,9.17,B,B2,School Adminstrator,5 years,RENT,104000.0,Sep-15,Fully Paid,debt_consolidation,CA,685.0
1007885,74656894,12000.0, 60 months,15.31,C,C5,Owner,5 years,RENT,34000.0,Mar-16,Charged Off,debt_consolidation,IN,665.0
509579,127090839,40000.0, 60 months,10.91,B,B4,Chief/Financial Analyst,10+ years,MORTGAGE,218000.0,Jan-18,Current,credit_card,VA,730.0
979612,103755909,3000.0, 36 months,17.99,D,D2,Receptionist,4 years,RENT,18000.0,Apr-17,Current,other,IN,690.0
768004,140413307,10000.0, 36 months,10.47,B,B2,Phytech,10+ years,MORTGAGE,60000.0,Sep-18,Current,debt_consolidation,CO,705.0
274508,50093772,24000.0, 36 months,11.53,B,B5,Data Analyst,< 1 year,RENT,75000.0,Jun-15,Charged Off,credit_card,NC,710.0
317445,46105027,10000.0, 36 months,6.92,A,A4,,,RENT,50000.0,Apr-15,Fully Paid,debt_consolidation,NV,675.0
319374,46144325,9000.0, 36 months,7.89,A,A5,Clerk,6 years,RENT,50000.0,Apr-15,Fully Paid,debt_consolidation,NY,710.0
603300,114771874,24000.0, 60 months,9.93,B,B2,Director of Service Coordination,1 year,MORTGAGE,99300.0,Aug-17,Current,debt_consolidation,TX,720.0
372575,40960193,28800.0, 36 months,9.17,B,B2,Director Finance,2 years,RENT,148500.0,Feb-15,Fully Paid,debt_consolidation,NY,710.0
697336,77861629,10000.0, 36 months,16.29,D,D1,Accounts receivable ,2 years,RENT,50000.0,May-16,Current,other,CA,700.0
465436,129096898,11500.0, 36 months,5.31,A,A1,,,OWN,56000.0,Feb-18,Current,debt_consolidation,UT,755.0
141296,60327119,9000.0, 36 months,6.89,A,A3,Operations Manager,3 years,RENT,45000.0,Sep-15,Fully Paid,credit_card,HI,710.0
927302,109039955,4000.0, 36 months,19.03,D,D3,Technician,< 1 year,MORTGAGE,55000.0,May-17,Charged Off,debt_consolidation,AZ,675.0
163803,57478575,8000.0, 36 months,14.65,C,C5,Account manager,2 years,RENT,100000.0,Aug-15,Fully Paid,debt_consolidation,CA,665.0
960835,105537118,2000.0, 36 months,7.49,A,A4,Branch Manager,< 1 year,RENT,54000.0,Apr-17,Fully Paid,debt_consolidation,TX,710.0
398609,39470717,8000.0, 36 months,12.39,C,C1,Project Manager,8 years,RENT,41699.0,Jan-15,Fully Paid,debt_consolidation,CA,690.0
656370,83685554,4900.0, 36 months,22.39,E,E1,Football Coach,10+ years,RENT,42000.0,Jun-16,Charged Off,moving,AL,695.0
617992,113841611,15000.0, 36 months,7.07,A,A2,Director,10+ years,MORTGAGE,71000.0,Jul-17,Current,debt_consolidation,NV,770.0
598349,115390112,6500.0, 36 months,10.91,B,B4,Accounts Payable,8 years,MORTGAGE,41500.0,Aug-17,Fully Paid,debt_consolidation,CA,730.0
937710,108689673,7000.0, 36 months,12.62,C,C1,Correctional Officer,< 1 year,RENT,55000.0,May-17,Current,debt_consolidation,RI,660.0
775562,139010869,15000.0, 36 months,6.67,A,A2,Ceo,< 1 year,RENT,150000.0,Sep-18,Current,credit_card,TX,760.0
742293,76263015,20000.0, 36 months,13.67,C,C3,Banquet Manager ,10+ years,RENT,67000.0,Apr-16,Current,debt_consolidation,WI,660.0
439733,129963889,5500.0, 36 months,17.47,D,D1,,,OWN,24000.0,Mar-18,Current,debt_consolidation,TN,675.0
242653,52536294,3200.0, 36 months,16.99,D,D3,multimedia tech,10+ years,MORTGAGE,70000.0,Jun-15,Fully Paid,home_improvement,GA,660.0
614095,113683105,5500.0, 36 months,9.44,B,B1,School Bus Driver ,3 years,RENT,30000.0,Jul-17,Current,debt_consolidation,NJ,720.0
743458,76323872,16000.0, 36 months,16.29,D,D1,Sales manager,7 years,RENT,46000.0,Apr-16,Current,debt_consolidation,OH,690.0
112776,61393391,3500.0, 36 months,14.65,C,C5,,,RENT,45000.0,Oct-15,Fully Paid,major_purchase,MO,665.0
255511,49307448,35000.0, 36 months,15.61,D,D1,Senior Project Manager Executive Team,10+ years,MORTGAGE,84000.0,Jun-15,Fully Paid,credit_card,TX,685.0
607062,114083095,5000.0, 36 months,13.59,C,C2,Teacher ,3 years,RENT,52800.0,Aug-17,Current,debt_consolidation,NY,660.0
332092,44249241,13250.0, 36 months,14.65,C,C5,SECURITY,8 years,RENT,37000.0,Apr-15,Charged Off,other,MA,690.0
677490,79845184,20000.0, 60 months,8.39,B,B1,B,10+ years,MORTGAGE,120000.0,Jun-16,Current,credit_card,MI,705.0
781329,138406066,9600.0, 36 months,8.46,A,A5,,< 1 year,RENT,60000.0,Sep-18,Current,medical,IL,690.0
500944,127411406,5000.0, 36 months,16.02,C,C5,Teacher Assistant,3 years,OWN,25000.0,Jan-18,Current,credit_card,FL,665.0
244070,52596387,10000.0, 36 months,12.69,C,C2,Driver,< 1 year,OWN,80000.0,Jun-15,Fully Paid,credit_card,NY,690.0
565367,117130110,10000.0, 36 months,9.44,B,B1,operations,6 years,RENT,60000.0,Sep-17,Fully Paid,debt_consolidation,FL,695.0
1009749,75099125,10000.0, 36 months,17.27,D,D2,Housekeeping ,< 1 year,OWN,25000.0,Mar-16,Fully Paid,debt_consolidation,MD,700.0
777566,139714578,10000.0, 36 months,16.91,C,C5,Sr Underwriter ,2 years,MORTGAGE,100000.0,Sep-18,Fully Paid,house,SC,695.0
810391,138546620,20000.0, 36 months,11.55,B,B4,Lawyer,1 year,RENT,150000.0,Aug-18,Current,credit_card,MN,680.0
980614,102045409,35000.0, 60 months,11.39,B,B3,Managing Partner,2 years,RENT,185000.0,Apr-17,Current,credit_card,TX,690.0
129381,60792956,10350.0, 36 months,16.99,D,D3,frac supervisor,1 year,OWN,144185.0,Oct-15,Charged Off,other,TX,670.0
320440,45814393,10000.0, 36 months,6.39,A,A2,Ocxupational therapist ,1 year,MORTGAGE,70000.0,Apr-15,Fully Paid,credit_card,TX,695.0
439103,129580675,6000.0, 36 months,9.92,B,B2,Upholsterer,10+ years,MORTGAGE,45000.0,Mar-18,Current,debt_consolidation,OK,745.0
893226,111056880,6000.0, 36 months,7.35,A,A4,Teacher,< 1 year,RENT,62000.0,Jun-17,Current,debt_consolidation,NY,785.0
860399,136291518,15000.0, 36 months,22.35,D,D5,Manager,8 years,OWN,50000.0,Jul-18,Current,credit_card,NY,705.0
249021,52076772,6000.0, 36 months,13.33,C,C3,lab ,10+ years,RENT,55000.0,Jun-15,Charged Off,renewable_energy,FL,745.0
970770,104624140,40000.0, 36 months,5.32,A,A1,Logistics Manager,< 1 year,MORTGAGE,115000.0,Apr-17,Current,credit_card,IL,700.0
93059,63504389,10500.0, 60 months,17.86,D,D5,Waitress,4 years,RENT,25000.0,Oct-15,Fully Paid,debt_consolidation,SC,675.0
961563,106085789,30000.0, 36 months,11.44,B,B4,Dental Hygienist,10+ years,MORTGAGE,96000.0,Apr-17,Current,credit_card,NV,695.0
264493,50616760,10200.0, 60 months,13.99,C,C4,VICE PRESIDENT ,4 years,MORTGAGE,235000.0,May-15,Current,debt_consolidation,NY,695.0
533140,120006745,11200.0, 36 months,14.08,C,C3,Senior Project Manager ,10+ years,MORTGAGE,96000.0,Sep-17,Fully Paid,debt_consolidation,OR,730.0
916004,105729954,30000.0, 36 months,16.02,C,C5,Product Manager,3 years,MORTGAGE,207000.0,Jun-17,Current,home_improvement,FL,665.0
2006,68475190,20000.0, 60 months,13.99,C,C4,Electrical Maintenance Supervisor,10+ years,MORTGAGE,78000.0,Dec-15,Fully Paid,debt_consolidation,OH,705.0
241262,53030329,5800.0, 36 months,19.19,E,E3,Pharmacy tech,10+ years,MORTGAGE,65000.0,Jul-15,Charged Off,debt_consolidation,MN,660.0
202562,55948948,14600.0, 36 months,9.17,B,B2,QDRO Analyst,4 years,MORTGAGE,42000.0,Jul-15,Fully Paid,debt_consolidation,NM,750.0
828928,137966734,10000.0, 36 months,11.55,B,B4,Owner,10+ years,RENT,40000.0,Aug-18,Current,credit_card,CA,665.0
346913,42434164,6725.0, 36 months,16.99,D,D3,ATP/ Service Manager,8 years,RENT,50000.0,Mar-15,Charged Off,debt_consolidation,CA,680.0
65659,65139677,12000.0, 60 months,15.41,D,D1,parts,7 years,MORTGAGE,32000.0,Nov-15,Current,debt_consolidation,LA,685.0
232074,54078401,20000.0, 36 months,15.61,D,D1,Electrical Foreman,1 year,RENT,75000.0,Jul-15,Fully Paid,debt_consolidation,TX,685.0
14447,67358468,15000.0, 60 months,13.67,C,C4,Tech/sales,1 year,RENT,150000.0,Dec-15,Current,other,TX,675.0
862111,136626227,13000.0, 36 months,13.56,C,C1,Design Engineer,10+ years,RENT,75000.0,Jul-18,Current,credit_card,IN,750.0
814694,138419139,16000.0, 60 months,11.06,B,B3,Registered Nurse,6 years,MORTGAGE,56000.0,Aug-18,Current,credit_card,PA,660.0
1044953,72615321,12600.0, 36 months,16.29,D,D1,maintenece man,1 year,RENT,35000.0,Mar-16,Fully Paid,debt_consolidation,WI,665.0
195079,56091966,12000.0, 60 months,17.86,D,D5,Co Manager,4 years,MORTGAGE,49000.0,Aug-15,Charged Off,debt_consolidation,NY,665.0
190159,56884230,35000.0, 60 months,18.25,E,E1,DS II,10+ years,MORTGAGE,90000.0,Aug-15,Fully Paid,credit_card,NV,660.0
164271,58533773,35000.0, 60 months,16.99,D,D3,,,MORTGAGE,80148.0,Aug-15,Fully Paid,debt_consolidation,NJ,660.0
963173,106065127,5000.0, 36 months,10.49,B,B2,,,OWN,60000.0,Apr-17,Fully Paid,debt_consolidation,CA,670.0
901057,111071721,14000.0, 60 months,7.97,A,A5,Admin. Asst.,10+ years,MORTGAGE,82000.0,Jun-17,Current,home_improvement,IL,815.0
640803,112762159,36000.0, 60 months,9.44,B,B1,Regional CE Director,2 years,MORTGAGE,160000.0,Jul-17,Current,debt_consolidation,FL,750.0
202313,55908699,25000.0, 60 months,14.65,C,C5,Director of Special Education ,2 years,MORTGAGE,100500.0,Jul-15,Fully Paid,debt_consolidation,IL,725.0
422070,130887353,4000.0, 36 months,7.34,A,A4,,,MORTGAGE,35000.0,Mar-18,Current,home_improvement,WI,700.0
637563,113025189,4500.0, 36 months,10.42,B,B3,Field tech,8 years,MORTGAGE,86000.0,Jul-17,Fully Paid,debt_consolidation,CA,700.0
112556,61313394,22000.0, 60 months,14.65,C,C5,"Advisory Specialist,AVP",1 year,MORTGAGE,80000.0,Oct-15,Fully Paid,debt_consolidation,NC,730.0
1023217,74532632,6900.0, 36 months,12.99,C,C2,Field Service Supervisor,10+ years,MORTGAGE,115000.0,Mar-16,Fully Paid,other,TX,705.0
463687,129106621,12500.0, 36 months,7.34,A,A4,Sole Proprietor,10+ years,OWN,45000.0,Feb-18,Current,home_improvement,MN,710.0
869294,135081829,14000.0, 36 months,10.56,B,B3,Laborer,1 year,MORTGAGE,42000.0,Jul-18,Current,debt_consolidation,NY,725.0
731566,77269269,25000.0, 36 months,7.89,A,A5,Senior service tech,3 years,MORTGAGE,53000.0,Apr-16,Current,debt_consolidation,GA,730.0
506125,127276098,15000.0, 36 months,9.93,B,B2,Server,10+ years,OWN,50000.0,Jan-18,Current,credit_card,NV,745.0
33004,66490723,6875.0, 36 months,11.99,C,C1,Broker/office manager,10+ years,MORTGAGE,62000.0,Dec-15,Charged Off,debt_consolidation,IN,665.0
43196,65747504,12000.0, 36 months,11.49,B,B5,Factory line worker,10+ years,MORTGAGE,54000.0,Nov-15,Fully Paid,credit_card,VA,705.0
111203,61453862,9100.0, 36 months,6.24,A,A2,Manufacturing Engineer,10+ years,MORTGAGE,61500.0,Oct-15,Fully Paid,debt_consolidation,VA,725.0
42898,65707692,25000.0, 36 months,9.99,B,B3,CEO,10+ years,OWN,300000.0,Dec-15,Fully Paid,credit_card,PA,670.0
350126,43034336,13200.0, 60 months,12.29,C,C1,Teacher,1 year,RENT,50000.0,Mar-15,Current,debt_consolidation,CA,665.0
647159,112436757,18000.0, 60 months,16.02,C,C5,Police Officer,10+ years,MORTGAGE,122000.0,Jul-17,Current,debt_consolidation,NV,700.0
45290,65692483,31500.0, 60 months,19.99,E,E4,Craft Sevices,4 years,RENT,75000.0,Nov-15,Charged Off,debt_consolidation,NY,665.0
425488,130806374,7000.0, 36 months,7.34,A,A4,2nd pressman,4 years,RENT,50000.0,Mar-18,Current,home_improvement,FL,690.0
418375,38331332,8000.0, 36 months,12.39,C,C1,Health Technician/Medical Assistant,10+ years,RENT,47000.0,Jan-15,Fully Paid,moving,NY,710.0
285676,48615237,4000.0, 36 months,15.61,D,D1,Captain,10+ years,MORTGAGE,87000.0,May-15,Fully Paid,other,SC,665.0
295420,47551485,7000.0, 36 months,13.33,C,C3,,,OWN,18000.0,May-15,Fully Paid,debt_consolidation,NH,670.0
727524,77210324,8000.0, 36 months,11.47,B,B5,Medical Coder,6 years,RENT,100000.0,Apr-16,Charged Off,other,TX,685.0
47099,65615505,5600.0, 36 months,11.49,B,B5,Finance Manager,8 years,OWN,55000.0,Nov-15,Fully Paid,credit_card,TN,665.0
1034634,73540291,5000.0, 36 months,10.75,B,B4,Regional Manager,10+ years,RENT,147000.0,Mar-16,Fully Paid,debt_consolidation,WA,675.0
724137,76447246,24925.0, 60 months,19.99,E,E1,Mechanic,10+ years,MORTGAGE,80000.0,Apr-16,Fully Paid,debt_consolidation,GA,660.0
5449,68593301,6000.0, 36 months,7.49,A,A4,Therapist,8 years,OWN,68200.0,Dec-15,Fully Paid,credit_card,FL,735.0
737179,76223662,15000.0, 36 months,5.32,A,A1,Manager Operational Analysis,8 years,MORTGAGE,105000.0,Apr-16,Fully Paid,major_purchase,TX,830.0
678946,79611778,17000.0, 60 months,14.46,C,C4,Case Planner,< 1 year,RENT,50000.0,Jun-16,Current,debt_consolidation,MI,660.0
908204,108471789,8000.0, 36 months,9.93,B,B2,,,OWN,25200.0,Jun-17,Charged Off,debt_consolidation,TX,745.0
257282,51356719,12000.0, 36 months,9.17,B,B2,Project Manager,< 1 year,RENT,70000.0,Jun-15,Fully Paid,credit_card,PA,685.0
12421,67555487,6025.0, 36 months,11.22,B,B5,Director,4 years,MORTGAGE,48000.0,Dec-15,Charged Off,home_improvement,MA,690.0
728462,77015212,7200.0, 36 months,10.75,B,B4,Cashier,2 years,RENT,22000.0,Apr-16,Current,credit_card,MI,670.0
752462,140734091,20000.0, 60 months,7.84,A,A4,,,OWN,45600.0,Sep-18,Current,debt_consolidation,DE,835.0
726259,75370414,20000.0, 60 months,19.99,E,E1,OFFICE MANAGER,4 years,MORTGAGE,62400.0,Apr-16,Current,credit_card,IL,700.0
1036919,73598892,18000.0, 36 months,9.75,B,B3,Grey Eagle UAS Operator,5 years,OWN,69528.0,Mar-16,Fully Paid,debt_consolidation,TX,730.0
188357,56995177,18000.0, 60 months,9.17,B,B2,CEO,10+ years,MORTGAGE,115000.0,Aug-15,Fully Paid,debt_consolidation,FL,720.0
232650,52321481,9000.0, 36 months,11.53,B,B5,Pipefitter,< 1 year,RENT,86000.0,Jul-15,Fully Paid,debt_consolidation,NV,660.0
313008,46487364,2250.0, 36 months,15.61,D,D1,Assistant Teacher,1 year,RENT,30000.0,Apr-15,Fully Paid,debt_consolidation,NY,675.0
1038531,72772948,12500.0, 36 months,17.27,D,D2,Production Manager,10+ years,MORTGAGE,60000.0,Mar-16,Fully Paid,debt_consolidation,IN,665.0
612729,113850226,6000.0, 36 months,9.93,B,B2,Systems Development,10+ years,MORTGAGE,76500.0,Jul-17,Current,medical,NC,685.0
