,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
64194,64988266,,8000.0,8000.0,8000.0, 36 months,10.99,261.88,B,B4,Court Recording Monitor,10+ years,RENT,52000.0,Verified,Nov-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=64988266,,major_purchase,Major purchase,067xx,CT,20.12,0.0,Mar-01,685.0,689.0,0.0,,,11.0,0.0,8971.0,48.8,18.0,w,0.0,0.0,8447.47,8447.47,8000.0,447.47,0.0,0.0,0.0,May-16,7147.84,,Mar-19,669.0,665.0,0.0,,1.0,Individual,,,,0.0,0.0,21522.0,,,,,,,,,,,,18400.0,,,,3.0,2152.0,4676.0,60.4,0.0,0.0,137.0,176.0,10.0,9.0,0.0,107.0,,4.0,,0.0,5.0,8.0,5.0,5.0,6.0,10.0,12.0,8.0,11.0,0.0,0.0,0.0,2.0,100.0,40.0,0.0,0.0,33400.0,21522.0,11800.0,15000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
929380,109215750,,3000.0,3000.0,3000.0, 36 months,15.05,104.07,C,C4,Machine Shop Manager,4 years,MORTGAGE,105000.0,Not Verified,May-17,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=109215750,,credit_card,Credit card refinancing,461xx,IN,27.17,0.0,Apr-02,670.0,674.0,0.0,67.0,68.0,17.0,1.0,50913.0,87.0,30.0,f,0.0,0.0,3584.0984799999997,3584.1,3000.0,584.1,0.0,0.0,0.0,Jan-19,1609.28,,Mar-19,709.0,705.0,0.0,,1.0,Individual,,,,0.0,0.0,112138.0,1.0,2.0,1.0,2.0,12.0,11146.0,56.0,1.0,3.0,14234.0,79.0,58500.0,0.0,0.0,0.0,5.0,8010.0,4987.0,89.2,0.0,0.0,163.0,181.0,6.0,6.0,3.0,6.0,,20.0,67.0,0.0,9.0,11.0,9.0,13.0,5.0,14.0,22.0,11.0,17.0,0.0,0.0,0.0,2.0,96.4,77.8,0.0,0.0,146787.0,62059.0,46300.0,19887.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
715668,77228497,,36000.0,36000.0,36000.0, 60 months,11.47,791.2,B,B5,Teacher,10+ years,MORTGAGE,104000.0,Source Verified,May-16,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=77228497,,debt_consolidation,Debt consolidation,085xx,NJ,12.87,0.0,Aug-01,800.0,804.0,0.0,,,10.0,0.0,34836.0,17.0,20.0,w,0.0,0.0,20984.08,20984.08,12558.65,7370.46,0.0,1054.97,189.8946,Jun-18,791.2,,Feb-19,499.0,0.0,0.0,,1.0,Individual,,,,0.0,0.0,124181.0,0.0,3.0,1.0,2.0,7.0,32440.0,69.0,0.0,0.0,3698.0,45.0,75000.0,0.0,3.0,0.0,2.0,13798.0,21297.0,14.8,0.0,0.0,29.0,176.0,32.0,7.0,1.0,65.0,,,,0.0,2.0,3.0,2.0,8.0,5.0,5.0,14.0,4.0,10.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,199621.0,67276.0,25000.0,47071.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
174674,57784746,,5500.0,5500.0,5350.0, 36 months,14.65,189.72,C,C5,Equipment Opperator,10+ years,MORTGAGE,40000.0,Source Verified,Aug-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=57784746,,debt_consolidation,Debt consolidation,631xx,MO,22.2,0.0,Jan-05,725.0,729.0,0.0,,,5.0,0.0,8719.0,59.3,14.0,f,0.0,0.0,6449.170975,6273.28,5500.0,949.17,0.0,0.0,0.0,Mar-17,0.01,,Mar-17,769.0,765.0,0.0,,1.0,Individual,,,,0.0,0.0,142197.0,,,,,,,,,,,,14700.0,,,,1.0,28439.0,2216.0,76.2,0.0,0.0,71.0,127.0,37.0,22.0,5.0,38.0,,0.0,,0.0,2.0,3.0,2.0,4.0,2.0,3.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,158615.0,23496.0,9300.0,19750.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
668402,81463527,,18000.0,18000.0,18000.0, 36 months,11.99,597.78,C,C1,Instructional Designer,2 years,RENT,54000.0,Source Verified,Jun-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=81463527,,credit_card,Credit card refinancing,600xx,IL,12.07,0.0,Nov-06,685.0,689.0,0.0,,114.0,17.0,1.0,18262.0,65.5,35.0,w,0.0,0.0,21195.743619999997,21195.74,18000.0,3195.74,0.0,0.0,0.0,Aug-18,6263.23,,Dec-18,669.0,665.0,0.0,,1.0,Individual,,,,0.0,0.0,189995.0,0.0,10.0,0.0,0.0,33.0,171733.0,118.0,0.0,2.0,8211.0,100.0,27900.0,2.0,0.0,6.0,2.0,11176.0,6238.0,74.5,0.0,0.0,115.0,107.0,13.0,13.0,0.0,19.0,,8.0,,0.0,5.0,5.0,5.0,5.0,26.0,7.0,9.0,5.0,17.0,0.0,0.0,0.0,0.0,100.0,60.0,1.0,0.0,190039.0,189995.0,24500.0,162139.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
308576,46692729,,25000.0,25000.0,25000.0, 60 months,19.52,655.69,E,E3,TOOL MAKER,10+ years,MORTGAGE,70000.0,Source Verified,Apr-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=46692729,,debt_consolidation,Debt consolidation,467xx,IN,27.7,0.0,Jan-04,665.0,669.0,1.0,72.0,,14.0,0.0,18966.0,42.0,37.0,f,0.0,0.0,38024.70809,38024.71,25000.0,13024.71,0.0,0.0,0.0,Feb-19,29.46,,Jan-19,734.0,730.0,0.0,72.0,1.0,Individual,,,,0.0,0.0,57528.0,,,,,,,,,,,,45200.0,,,,10.0,4425.0,15377.0,47.3,0.0,0.0,121.0,135.0,2.0,2.0,1.0,5.0,72.0,3.0,72.0,1.0,4.0,9.0,5.0,11.0,15.0,12.0,21.0,9.0,14.0,0.0,0.0,0.0,4.0,97.3,20.0,0.0,0.0,95552.0,57528.0,29200.0,50352.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
25832,66494126,,11000.0,11000.0,11000.0, 36 months,16.55,389.73,D,D2,Director of Business Analytics,10+ years,RENT,125000.0,Verified,Dec-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66494126,,major_purchase,Major purchase,334xx,FL,10.46,1.0,Jan-03,660.0,664.0,1.0,21.0,,6.0,0.0,1502.0,83.4,15.0,w,0.0,0.0,12380.53,12380.53,11000.0,1380.53,0.0,0.0,0.0,Oct-16,8860.13,,Mar-19,609.0,605.0,0.0,,1.0,Individual,,,,0.0,0.0,69140.0,,,,,,,,,,,,1800.0,,,,4.0,11523.0,298.0,83.4,0.0,0.0,155.0,136.0,5.0,1.0,0.0,5.0,,1.0,,0.0,3.0,3.0,3.0,4.0,9.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,3.0,92.9,66.7,0.0,0.0,81967.0,69140.0,1800.0,80167.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
102690,62216453,,35000.0,35000.0,35000.0, 60 months,18.55,899.28,E,E2,AVP BSA/AML QA Officer,< 1 year,RENT,98500.0,Source Verified,Oct-15,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=62216453,,debt_consolidation,Debt consolidation,945xx,CA,16.83,1.0,Jan-98,670.0,674.0,0.0,9.0,,10.0,0.0,31091.0,86.6,26.0,w,0.0,0.0,24208.42,24208.42,11891.56,12316.86,0.0,0.0,0.0,Jan-18,899.28,,Mar-19,614.0,610.0,0.0,,1.0,Individual,,,,0.0,0.0,58579.0,,,,,,,,,,,,35900.0,,,,11.0,5858.0,2259.0,91.8,0.0,0.0,122.0,213.0,4.0,4.0,0.0,4.0,,9.0,9.0,0.0,3.0,7.0,3.0,7.0,5.0,9.0,21.0,7.0,10.0,0.0,0.0,0.0,2.0,96.2,100.0,0.0,0.0,70167.0,58579.0,27500.0,34267.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
1022028,73914852,,10675.0,10675.0,10675.0, 36 months,19.99,396.67,E,E1,Project Manager,3 years,MORTGAGE,93048.0,Source Verified,Mar-16,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73914852,,debt_consolidation,Debt consolidation,301xx,GA,20.06,0.0,Jan-05,675.0,679.0,0.0,,99.0,16.0,1.0,6738.0,51.8,42.0,w,0.0,0.0,8329.32,8329.32,5443.79,2885.53,0.0,0.0,0.0,Dec-17,396.67,,Mar-19,509.0,505.0,0.0,,1.0,Individual,,,,0.0,64.0,133270.0,2.0,3.0,3.0,6.0,4.0,124358.0,78.0,4.0,8.0,1597.0,61.0,13000.0,3.0,1.0,3.0,15.0,8329.0,4431.0,46.0,0.0,0.0,73.0,104.0,7.0,4.0,1.0,7.0,,7.0,,0.0,4.0,8.0,7.0,13.0,22.0,12.0,18.0,8.0,16.0,0.0,0.0,0.0,8.0,100.0,42.9,1.0,0.0,146298.0,133270.0,8200.0,127189.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
1028310,73905020,,8400.0,8400.0,8200.0, 36 months,17.27,300.62,D,D2,Sr. Assignment Tech,10+ years,RENT,47700.0,Source Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73905020,,debt_consolidation,Debt consolidation,900xx,CA,43.57,0.0,Jun-89,675.0,679.0,0.0,,,16.0,0.0,36318.0,72.6,42.0,f,0.0,0.0,9993.663029000001,9755.72,8400.0,1593.66,0.0,0.0,0.0,Jun-17,5801.1,,Mar-18,554.0,550.0,0.0,,1.0,Individual,,,,0.0,0.0,59255.0,1.0,5.0,2.0,7.0,2.0,22937.0,67.0,0.0,3.0,13731.0,70.0,50000.0,5.0,8.0,0.0,10.0,3950.0,10534.0,72.6,0.0,0.0,321.0,155.0,17.0,2.0,0.0,19.0,,17.0,,0.0,6.0,9.0,6.0,13.0,20.0,11.0,22.0,9.0,16.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,84498.0,59255.0,38400.0,34498.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
141707,60407248,,35000.0,35000.0,35000.0, 36 months,13.99,1196.05,C,C4,Sr System Engineer,2 years,RENT,88400.0,Source Verified,Sep-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60407248,,credit_card,Credit card refinancing,661xx,KS,16.92,0.0,Jan-05,680.0,684.0,2.0,,,15.0,0.0,28650.0,37.6,43.0,f,0.0,0.0,42956.05905,42956.06,35000.0,7956.06,0.0,0.0,0.0,Apr-18,3350.41,,Oct-18,714.0,710.0,0.0,,1.0,Individual,,,,0.0,0.0,74836.0,,,,,,,,,,,,76100.0,,,,7.0,4989.0,32798.0,44.1,0.0,0.0,121.0,128.0,2.0,2.0,0.0,2.0,,0.0,,0.0,5.0,7.0,9.0,16.0,20.0,12.0,23.0,7.0,15.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,124089.0,74836.0,58700.0,47989.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
